# Absorption coefficients
# CDSD 296K. Molecule CO2. Isotopologue(s): 626,636,628.
# Wavenumber range: 600-3000 cm-1, T: 296 K, P: 5 atm, step: 0.05007 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  600.038880    4.9866300036E-01    4.0224946439E-21
  600.088950    4.9946192442E-01    4.0289392121E-21
  600.139020    5.0026535999E-01    4.0354201728E-21
  600.189090    5.0107336955E-01    4.0419380298E-21
  600.239160    5.0188600787E-01    4.0484932249E-21
  600.289230    5.0270333013E-01    4.0550862034E-21
  600.339300    5.0352536188E-01    4.0617171712E-21
  600.389370    5.0435214689E-01    4.0683864815E-21
  600.439440    5.0518371594E-01    4.0750943826E-21
  600.489510    5.0602009116E-01    4.0818410528E-21
  600.539580    5.0686130005E-01    4.0886267142E-21
  600.589650    5.0770734071E-01    4.0954513513E-21
  600.639720    5.0855822940E-01    4.1023150954E-21
  600.689790    5.0941397030E-01    4.1092179800E-21
  600.739860    5.1027456486E-01    4.1161600170E-21
  600.789930    5.1114001160E-01    4.1231411944E-21
  600.840000    5.1201028787E-01    4.1301613296E-21
  600.890070    5.1288538942E-01    4.1372203880E-21
  600.940140    5.1376530011E-01    4.1443182398E-21
  600.990210    5.1465003125E-01    4.1514549759E-21
  601.040280    5.1553950869E-01    4.1586299985E-21
  601.090350    5.1643372168E-01    4.1658432205E-21
  601.140420    5.1733265183E-01    4.1730944939E-21
  601.190490    5.1823632200E-01    4.1803840028E-21
  601.240560    5.1914459925E-01    4.1877106751E-21
  601.290630    5.2005750335E-01    4.1950746701E-21
  601.340700    5.2097500162E-01    4.2024757243E-21
  601.390770    5.2189711092E-01    4.2099139736E-21
  601.440840    5.2282369614E-01    4.2173883282E-21
  601.490910    5.2375485215E-01    4.2248995533E-21
  601.540980    5.2469039346E-01    4.2324461528E-21
  601.591050    5.2563034802E-01    4.2400283519E-21
  601.641120    5.2657468783E-01    4.2476459250E-21
  601.691190    5.2752337745E-01    4.2552985860E-21
  601.741260    5.2847638111E-01    4.2629860465E-21
  601.791330    5.2943367131E-01    4.2707080846E-21
  601.841400    5.3039519524E-01    4.2784642744E-21
  601.891470    5.3136093377E-01    4.2862544615E-21
  601.941540    5.3233083305E-01    4.2940782115E-21
  601.991610    5.3330486505E-01    4.3019352983E-21
  602.041680    5.3428300071E-01    4.3098254876E-21
  602.091750    5.3526518606E-01    4.3177483439E-21
  602.141820    5.3625139117E-01    4.3257036259E-21
  602.191890    5.3724157942E-01    4.3336910381E-21
  602.241960    5.3823570746E-01    4.3417102309E-21
