# Absorption coefficients
# HITRAN. Molecule CO2. Isotopologue(s): 636.
# Wavenumber range: 2200-2500 cm-1, T: 296 K, P: 1 atm, step: 0.01002 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

 2200.001220    3.9741604943E-05    1.6028900571E-24
 2200.011240    4.2480346678E-05    1.7133511696E-24
 2200.021260    4.5731631931E-05    1.8444845955E-24
 2200.031280    4.9742580751E-05    2.0062573772E-24
 2200.041300    5.4752530590E-05    2.2083226636E-24
 2200.051320    6.0945273747E-05    2.4580933119E-24
 2200.061340    6.8382959330E-05    2.7580759695E-24
 2200.071360    7.6898379312E-05    3.1015266691E-24
 2200.081380    8.5943006534E-05    3.4663217765E-24
 2200.091400    9.4459425206E-05    3.8098127561E-24
 2200.101420    1.0094321352E-04    4.0713220695E-24
 2200.111440    1.0388809189E-04    4.1900972491E-24
 2200.121460    1.0250340248E-04    4.1342488530E-24
 2200.131480    9.7177996530E-05    3.9194603396E-24
 2200.141500    8.9244334697E-05    3.5994735729E-24
 2200.151520    8.0276022041E-05    3.2377564453E-24
 2200.161540    7.1509280214E-05    2.8841692329E-24
 2200.171560    6.3655370365E-05    2.5673990868E-24
 2200.181580    5.6985256212E-05    2.2983747313E-24
 2200.191600    5.1485666610E-05    2.0765609041E-24
 2200.201620    4.6989360690E-05    1.8952123133E-24
 2200.211640    4.3264736540E-05    1.7449878062E-24
 2200.221660    4.0082973326E-05    1.6166583986E-24
 2200.231680    3.7271059483E-05    1.5032460503E-24
 2200.241700    3.4739606076E-05    1.4011454557E-24
 2200.251720    3.2473905656E-05    1.3097634221E-24
 2200.261740    3.0499328253E-05    1.2301231939E-24
 2200.271760    2.8846955401E-05    1.1634783763E-24
 2200.281780    2.7535742363E-05    1.1105934879E-24
 2200.291800    2.6570400673E-05    1.0716585582E-24
 2200.301820    2.5944876411E-05    1.0464294155E-24
 2200.311840    2.5656852262E-05    1.0348125961E-24
 2200.321860    2.5700994791E-05    1.0365929878E-24
 2200.331880    2.6080213794E-05    1.0518879506E-24
 2200.341900    2.6805585089E-05    1.0811442033E-24
 2200.351920    2.7896760944E-05    1.1251543768E-24
