Spectra_filename,Profile point
FN7114 line across CO2 30 microns0001.CSV,1
FN7114 line across CO2 30 microns0002.CSV,2
FN7114 line across CO2 30 microns0003.CSV,3
FN7114 line across CO2 30 microns0004.CSV,4
FN7114 line across CO2 30 microns0005.CSV,5
FN7114 line across CO2 30 microns0006.CSV,6
FN7114 line across CO2 30 microns0007.CSV,7
FN7114 line across CO2 30 microns0008.CSV,8
FN7114 line across CO2 30 microns0009.CSV,9
FN7114 line across CO2 30 microns0010.CSV,10
FN7114 line across CO2 30 microns0011.CSV,11
FN7114 line across CO2 30 microns0012.CSV,12
FN7114 line across CO2 30 microns0013.CSV,13
FN7114 line across CO2 30 microns0014.CSV,14
FN7114 line across CO2 30 microns0015.CSV,15
FN7114 line across CO2 30 microns0016.CSV,16
FN7114 line across CO2 30 microns0017.CSV,17
FN7114 line across CO2 30 microns0018.CSV,18
FN7114 line across CO2 30 microns0019.CSV,19
FN7114 line across CO2 30 microns0020.CSV,20
FN7114 line across CO2 30 microns0021.CSV,21
FN7114 line across CO2 30 microns0022.CSV,22
FN7114 line across CO2 30 microns0023.CSV,23
FN7114 line across CO2 30 microns0024.CSV,24
FN7114 line across CO2 30 microns0025.CSV,25
FN7114 line across CO2 30 microns0026.CSV,26
FN7114 line across CO2 30 microns0027.CSV,27
FN7114 line across CO2 30 microns0028.CSV,28
FN7114 line across CO2 30 microns0029.CSV,29
FN7114 line across CO2 30 microns0030.CSV,30
FN7114 line across CO2 30 microns0031.CSV,31
FN7114 line across CO2 30 microns0032.CSV,32
FN7114 line across CO2 30 microns0033.CSV,33
FN7114 line across CO2 30 microns0034.CSV,34
FN7114 line across CO2 30 microns0035.CSV,35
FN7114 line across CO2 30 microns0036.CSV,36
FN7114 line across CO2 30 microns0037.CSV,37
FN7114 line across CO2 30 microns0038.CSV,38
FN7114 line across CO2 30 microns0039.CSV,39
FN7114 line across CO2 30 microns0040.CSV,40
FN7114 line across CO2 30 microns0041.CSV,41
FN7114 line across CO2 30 microns0042.CSV,42
FN7114 line across CO2 30 microns0043.CSV,43
FN7114 line across CO2 30 microns0044.CSV,44
FN7114 line across CO2 30 microns0045.CSV,45
FN7114 line across CO2 30 microns0046.CSV,46
FN7114 line across CO2 30 microns0047.CSV,47
FN7114 line across CO2 30 microns0048.CSV,48
FN7114 line across CO2 30 microns0049.CSV,49
FN7114 line across CO2 30 microns0050.CSV,50
FN7114 line across CO2 30 microns0051.CSV,51
FN7114 line across CO2 30 microns0052.CSV,52
FN7114 line across CO2 30 microns0053.CSV,53
FN7114 line across CO2 30 microns0054.CSV,54
FN7114 line across CO2 30 microns0055.CSV,55
FN7114 line across CO2 30 microns0056.CSV,56
