,wavenumber,experimental,"CO2 ν2a, phase I"
0,599.778,3.47445,0.0
1,600.743,3.45319,0.0
2,601.707,3.35649,0.0
3,602.671,3.23797,0.0
4,603.636,3.22495,0.0
5,604.6,3.23211,0.0
6,605.564,3.2239,0.0
7,606.528,3.16502,0.0
8,607.493,3.13595,0.0
9,608.457,3.10091,2.80404e-44
10,609.421,3.08516,1.1076e-42
11,610.385,3.0488,4.375e-41
12,611.35,3.00399,1.61387e-39
13,612.314,2.89397,5.5495e-38
14,613.278,2.87557,1.77893e-36
15,614.243,2.89535,5.31596e-35
16,615.207,2.94103,1.4804e-33
17,616.171,2.87516,3.84457e-32
18,617.135,2.8808,9.30736e-31
19,618.1,2.89723,2.10051e-29
20,619.064,2.9655,4.41783e-28
21,620.028,2.96175,8.66452e-27
22,620.992,2.93592,1.58417e-25
23,621.957,2.93382,2.6993e-24
24,622.921,3.04324,4.2889e-23
25,623.885,2.99582,6.35272e-22
26,624.85,2.89061,8.76945e-21
27,625.814,2.91195,1.12882e-19
28,626.778,2.9915,1.35455e-18
29,627.742,2.87839,1.51525e-17
30,628.707,2.82067,1.58012e-16
31,629.671,2.97803,1.53608e-15
32,630.635,2.98642,1.39174e-14
33,631.6,2.93604,1.17577e-13
34,632.564,2.99257,9.25985e-13
35,633.528,3.07254,6.79693e-12
36,634.492,3.07681,4.65194e-11
37,635.457,3.03289,2.96805e-10
38,636.421,3.01459,1.76502e-09
39,637.385,2.9927,9.78649e-09
40,638.349,2.9822,5.05848e-08
41,639.314,2.98403,2.43744e-07
42,640.278,3.0027,1.09487e-06
43,641.242,3.00814,4.58406e-06
44,642.207,3.02846,1.78945e-05
45,643.171,3.05292,6.5119e-05
46,644.135,3.06845,0.000220909
47,645.099,3.11096,0.000698533
48,646.064,3.19571,0.00205936
49,647.028,3.28506,0.00565971
50,647.992,3.39658,0.0144989
51,648.956,3.60909,0.0346286
52,649.921,3.96598,0.0771001
53,650.885,4.35032,0.160015
54,651.849,4.23194,0.309613
55,652.813,3.72585,0.558465
56,653.778,3.63381,0.939053
57,654.742,4.10371,1.47198
58,655.706,4.45318,2.15097
59,656.671,5.00389,2.93001
60,657.635,6.31506,3.72082
61,658.599,7.14269,4.4048
62,659.563,7.23253,4.86103
63,660.528,7.107,5.00097
64,661.492,7.0674,4.79621
65,662.456,6.24671,4.28812
66,663.42,5.24826,3.57396
67,664.385,4.68534,2.77684
68,665.349,4.40963,2.01127
69,666.313,3.7304,1.35802
70,667.278,3.08753,0.85484
71,668.242,3.0318,0.501604
