,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
0,599.778,3.47445,0.0,0.0,0.0,0.0,-6.83721,10.3117,0.227444
1,600.743,3.45319,0.0,0.0,0.0,0.0,-6.833,10.2862,0.216101
2,601.707,3.35649,0.0,0.0,0.0,0.0,-6.82879,10.1853,0.192239
3,602.671,3.23797,0.0,0.0,0.0,0.0,-6.82459,10.0626,0.180642
4,603.636,3.22495,0.0,0.0,0.0,0.0,-6.82038,10.0453,0.177622
5,604.6,3.23211,0.0,0.0,0.0,0.0,-6.81617,10.0483,0.16982
6,605.564,3.2239,0.0,0.0,0.0,0.0,-6.81196,10.0359,0.158096
7,606.528,3.16502,0.0,0.0,0.0,0.0,-6.80775,9.97278,0.15116
8,607.493,3.13595,0.0,0.0,0.0,0.0,-6.80355,9.93949,0.145417
9,608.457,3.10091,0.0,0.0,0.0,0.0,-6.79934,9.90025,0.13633
10,609.421,3.08516,0.0,0.0,0.0,0.0,-6.79513,9.88029,0.12671
11,610.385,3.0488,0.0,0.0,0.0,0.0,-6.79092,9.83972,0.120122
12,611.35,3.00399,0.0,0.0,0.0,0.0,-6.78672,9.7907,0.115714
13,612.314,2.89397,0.0,0.0,0.0,0.0,-6.78251,9.67648,0.1095
14,613.278,2.87557,0.0,0.0,0.0,0.0,-6.7783,9.65387,0.104177
15,614.243,2.89535,0.0,0.0,0.0,0.0,-6.77409,9.66945,0.100336
16,615.207,2.94103,0.0,0.0,0.0,0.0,-6.76989,9.71092,0.100433
17,616.171,2.87516,0.0,0.0,0.0,0.0,-6.76568,9.64084,0.110984
18,617.135,2.8808,0.0,0.0,0.0,0.0,-6.76147,9.64227,0.133182
19,618.1,2.89723,0.0,0.0,0.0,0.0,-6.75726,9.65449,0.124942
20,619.064,2.9655,0.0,0.0,0.0,0.0,-6.75305,9.71856,0.0879623
21,620.028,2.96175,0.0,0.0,0.0,0.0,-6.74885,9.7106,0.0781742
22,620.992,2.93592,0.0,0.0,0.0,0.0,-6.74464,9.68056,0.0758359
23,621.957,2.93382,0.0,0.0,0.0,0.0,-6.74043,9.67426,0.0718114
24,622.921,3.04324,0.0,0.0,0.0,0.0,-6.73622,9.77947,0.0717789
25,623.885,2.99582,0.0,0.0,0.0,0.0,-6.73202,9.72784,0.0721009
26,624.85,2.89061,0.0,0.0,0.0,0.0,-6.72781,9.61842,0.0720791
27,625.814,2.91195,0.0,0.0,0.0,0.0,-6.7236,9.63555,0.0705137
28,626.778,2.9915,0.0,0.0,0.0,0.0,-6.71939,9.7109,0.0679161
29,627.742,2.87839,0.0,0.0,0.0,0.0,-6.71519,9.59358,0.0626143
30,628.707,2.82067,0.0,0.0,0.0,0.0,-6.71098,9.53165,0.0598387
31,629.671,2.97803,0.0,0.0,0.0,0.0,-6.70677,9.6848,0.0670775
32,630.635,2.98642,0.0,0.0,0.0,0.0,-6.70256,9.68899,0.0694881
33,631.6,2.93604,0.0,0.0,0.0,0.0,-6.69835,9.63439,0.0673197
34,632.564,2.99257,0.0,0.0,0.0,0.0,-6.69415,9.68672,0.0716705
35,633.528,3.07254,0.0,0.0,0.0,0.0,-6.68994,9.76248,0.0778384
36,634.492,3.07681,0.0,0.0,0.0,0.0,-6.68573,9.76254,0.0818219
37,635.457,3.03289,0.0,0.0,0.0,0.0,-6.68152,9.71441,0.086023
38,636.421,3.01459,0.0,0.0,0.0,0.0,-6.67732,9.6919,0.0828598
39,637.385,2.9927,0.0,0.0,0.0,0.0,-6.67311,9.66581,0.0843794
40,638.349,2.9822,0.0,0.0,0.0,0.0,-6.6689,9.6511,0.0870243
41,639.314,2.98403,0.0,0.0,0.0,0.0,-6.66469,9.64873,0.0911435
42,640.278,3.0027,0.0,0.0,0.0,0.0,-6.66048,9.66319,0.0960154
43,641.242,3.00814,0.0,0.0,0.0,0.0,-6.65628,9.66442,0.0972497
44,642.207,3.02846,0.0,0.0,0.0,0.0,-6.65207,9.68053,0.0997352
45,643.171,3.05292,0.0,0.0,0.0,0.0,-6.64786,9.70078,0.105864
46,644.135,3.06845,0.0,0.0,0.0,0.0,-6.64365,9.71211,0.11202
47,645.099,3.11096,0.0,0.0,0.0,0.0,-6.63945,9.75041,0.11473
48,646.064,3.19571,0.0,0.0,0.0,0.0,-6.63524,9.83095,0.1186
49,647.028,3.28506,0.0,0.0,0.0,0.0,-6.63103,9.9161,0.131147
50,647.992,3.39658,0.0,0.0,0.0,0.0,-6.62682,10.0234,0.149624
51,648.956,3.60909,0.0,0.0,0.0,0.0,-6.62262,10.2317,0.161288
52,649.921,3.96598,0.0,0.0,0.0,0.0,-6.61841,10.5844,0.151173
53,650.885,4.35032,0.0,0.0,0.0,0.0,-6.6142,10.9645,0.145348
54,651.849,4.23194,0.0,0.0,0.0,0.0,-6.60999,10.8419,0.146985
55,652.813,3.72585,0.0,0.0,0.0,0.0,-6.60578,10.3316,0.139033
56,653.778,3.63381,0.0,0.0,0.0,0.0,-6.60158,10.2354,0.140264
57,654.742,4.10371,0.0,0.0,0.0,0.0,-6.59737,10.7011,0.154692
58,655.706,4.45318,0.0,0.0,0.0,0.0,-6.59316,11.0463,0.143825
59,656.671,5.00389,0.0,0.0,0.0,0.0,-6.58895,11.5928,0.130198
60,657.635,6.31506,0.0,0.0,0.0,0.0,-6.58475,12.8998,0.141209
61,658.599,7.14269,0.0,0.0,0.0,0.0,-6.58054,13.7232,0.146972
62,659.563,7.23253,0.0,0.0,0.0,0.0,-6.57633,13.8089,0.126868
63,660.528,7.107,0.0,0.0,0.0,0.0,-6.57212,13.6791,0.111362
64,661.492,7.0674,0.0,0.0,0.0,0.0,-6.56792,13.6353,0.12125
65,662.456,6.24671,0.0,0.0,0.0,0.0,-6.56371,12.8104,0.1193
66,663.42,5.24826,0.0,0.0,0.0,0.0,-6.5595,11.8078,0.08795
67,664.385,4.68534,0.0,0.0,0.0,0.0,-6.55529,11.2406,0.0728445
68,665.349,4.40963,0.0,0.0,0.0,0.0,-6.55108,10.9607,0.0822226
69,666.313,3.7304,0.0,0.0,0.0,0.0,-6.54688,10.2773,0.125087
70,667.278,3.08753,0.0,0.0,0.0,0.0,-6.54267,9.6302,0.337206
71,668.242,3.0318,0.0,0.0,0.0,0.0,-6.53846,9.57026,0.848897
72,669.206,2.74119,0.0,0.0,0.0,0.0,-6.53425,9.27545,0.536972
73,670.17,2.19093,0.0,0.0,0.0,0.0,-6.53005,8.72097,0.243268
74,671.135,1.8019,0.0,0.0,0.0,0.0,-6.52584,8.32774,0.137674
75,672.099,1.94851,0.0,0.0,0.0,0.0,-6.52163,8.47014,0.131543
76,673.063,1.89882,0.0,0.0,0.0,0.0,-6.51742,8.41624,0.140923
77,674.028,1.62997,0.0,0.0,0.0,0.0,-6.51322,8.14318,0.138113
78,674.992,1.50891,0.0,0.0,0.0,0.0,-6.50901,8.01792,0.140961
79,675.956,1.59384,0.0,0.0,0.0,0.0,-6.5048,8.09864,0.152018
80,676.92,1.60104,0.0,0.0,0.0,0.0,-6.50059,8.10163,0.158909
81,677.885,1.51973,0.0,0.0,0.0,0.0,-6.49638,8.01611,0.158511
82,678.849,1.33548,0.0,0.0,0.0,0.0,-6.49218,7.82766,0.153509
83,679.813,1.34263,0.0,0.0,0.0,0.0,-6.48797,7.83059,0.153869
84,680.778,1.49214,0.0,0.0,0.0,0.0,-6.48376,7.9759,0.160638
85,681.742,1.39329,0.0,0.0,0.0,0.0,-6.47955,7.87284,0.156576
86,682.706,1.14485,0.0,0.0,0.0,0.0,-6.47535,7.6202,0.143515
87,683.67,1.21192,0.0,0.0,0.0,0.0,-6.47114,7.68305,0.140145
88,684.635,1.40265,0.0,0.0,0.0,0.0,-6.46693,7.86958,0.146324
89,685.599,1.28381,0.0,0.0,0.0,0.0,-6.46272,7.74654,0.139416
90,686.563,1.08036,0.0,0.0,0.0,0.0,-6.45852,7.53887,0.124597
91,687.527,1.16127,0.0,0.0,0.0,0.0,-6.45431,7.61558,0.126006
92,688.492,1.35155,0.0,0.0,0.0,0.0,-6.4501,7.80165,0.134547
93,689.456,1.22418,0.0,0.0,0.0,0.0,-6.44589,7.67008,0.125377
94,690.42,1.03632,0.0,0.0,0.0,0.0,-6.44168,7.47801,0.105497
95,691.385,1.1035,0.0,0.0,0.0,0.0,-6.43748,7.54097,0.0998224
96,692.349,1.30403,0.0,0.0,0.0,0.0,-6.43327,7.7373,0.10262
97,693.313,1.16984,0.0,0.0,0.0,0.0,-6.42906,7.5989,0.0950217
98,694.277,1.00476,0.0,0.0,0.0,0.0,-6.42485,7.42962,0.0805441
99,695.242,1.0617,0.0,0.0,0.0,0.0,-6.42065,7.48235,0.0762428
100,696.206,1.23492,0.0,0.0,0.0,0.0,-6.41644,7.65136,0.079213
101,697.17,1.12273,0.0,0.0,0.0,0.0,-6.41223,7.53496,0.0719634
102,698.134,0.997854,0.0,0.0,0.0,0.0,-6.40802,7.40588,0.0590695
103,699.099,1.05343,0.0,0.0,0.0,0.0,-6.40382,7.45725,0.0542104
104,700.063,1.21943,0.0,0.0,0.0,0.0,-6.39961,7.61904,0.0558953
105,701.027,1.10963,0.0,0.0,0.0,0.0,-6.3954,7.50503,0.049847
106,701.991,0.992164,0.0,0.0,0.0,0.0,-6.39119,7.38336,0.0395688
107,702.956,1.04004,0.0,0.0,0.0,0.0,-6.38698,7.42703,0.0388354
108,703.92,1.16546,0.0,0.0,0.0,0.0,-6.38278,7.54824,0.043307
109,704.884,1.07337,0.0,0.0,0.0,0.0,-6.37857,7.45194,0.0400633
110,705.849,0.94313,0.0,0.0,0.0,0.0,-6.37436,7.31749,0.0312242
111,706.813,1.01092,0.0,0.0,0.0,0.0,-6.37015,7.38107,0.0294375
112,707.777,1.11307,0.0,0.0,0.0,0.0,-6.36595,7.47902,0.0329789
113,708.741,1.05436,0.0,0.0,0.0,0.0,-6.36174,7.4161,0.0288039
114,709.706,0.946678,0.0,0.0,0.0,0.0,-6.35753,7.30421,0.021873
115,710.67,1.00619,0.0,0.0,0.0,0.0,-6.35332,7.35951,0.0222313
116,711.634,1.09584,0.0,0.0,0.0,0.0,-6.34912,7.44496,0.0260287
117,712.598,1.04555,0.0,0.0,0.0,0.0,-6.34491,7.39045,0.0242665
118,713.563,0.968721,0.0,0.0,0.0,0.0,-6.3407,7.30942,0.0202917
119,714.527,1.02251,0.0,0.0,0.0,0.0,-6.33649,7.359,0.0206673
120,715.491,1.08433,0.0,0.0,0.0,0.0,-6.33228,7.41662,0.0231778
121,716.456,1.04874,0.0,0.0,0.0,0.0,-6.32808,7.37682,0.0217084
122,717.42,0.980677,0.0,0.0,0.0,0.0,-6.32387,7.30455,0.0192893
123,718.384,1.012,0.0,0.0,0.0,0.0,-6.31966,7.33166,0.0262145
124,719.348,1.05188,0.0,0.0,0.0,0.0,-6.31545,7.36733,0.0536554
125,720.313,1.0326,0.0,0.0,0.0,0.0,-6.31125,7.34385,0.0781102
