,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
0,599.778,6.32894,0.0,0.0,0.0,0.0,-6.80535,13.1343,0.227444
1,600.743,5.99469,0.0,0.0,0.0,0.0,-6.80119,12.7959,0.216101
2,601.707,5.68218,0.0,0.0,0.0,0.0,-6.79703,12.4792,0.192239
3,602.671,5.06578,0.0,0.0,0.0,0.0,-6.79287,11.8587,0.180642
4,603.636,5.10112,0.0,0.0,0.0,0.0,-6.78871,11.8898,0.177622
5,604.6,5.14873,0.0,0.0,0.0,0.0,-6.78455,11.9333,0.16982
6,605.564,5.06907,0.0,0.0,0.0,0.0,-6.78039,11.8495,0.158096
7,606.528,4.88923,0.0,0.0,0.0,0.0,-6.77622,11.6655,0.15116
8,607.493,4.37731,0.0,0.0,0.0,0.0,-6.77206,11.1494,0.145417
9,608.457,4.08176,0.0,0.0,0.0,0.0,-6.7679,10.8497,0.13633
10,609.421,4.4612,0.0,0.0,0.0,0.0,-6.76374,11.2249,0.12671
11,610.385,4.56082,0.0,0.0,0.0,0.0,-6.75958,11.3204,0.120122
12,611.35,4.7093,0.0,0.0,0.0,0.0,-6.75542,11.4647,0.115714
13,612.314,4.69022,0.0,0.0,0.0,0.0,-6.75125,11.4415,0.1095
14,613.278,4.10658,0.0,0.0,0.0,0.0,-6.74709,10.8537,0.104177
15,614.243,3.90129,0.0,0.0,0.0,0.0,-6.74293,10.6442,0.100336
16,615.207,3.97767,0.0,0.0,0.0,0.0,-6.73877,10.7164,0.100433
17,616.171,3.73155,0.0,0.0,0.0,0.0,-6.73461,10.4662,0.110984
18,617.135,3.71694,0.0,0.0,0.0,0.0,-6.73045,10.4474,0.133182
19,618.1,3.49853,0.0,0.0,0.0,0.0,-6.72629,10.2248,0.124942
20,619.064,3.3248,0.0,0.0,0.0,0.0,-6.72212,10.0469,0.0879623
21,620.028,3.30397,0.0,0.0,0.0,0.0,-6.71796,10.0219,0.0781742
22,620.992,3.21962,0.0,0.0,0.0,0.0,-6.7138,9.93342,0.0758359
23,621.957,2.97376,0.0,0.0,0.0,0.0,-6.70964,9.6834,0.0718114
24,622.921,3.02087,0.0,0.0,0.0,0.0,-6.70548,9.72635,0.0717789
25,623.885,2.94021,0.0,0.0,0.0,0.0,-6.70132,9.64153,0.0721009
26,624.85,2.84839,0.0,0.0,0.0,0.0,-6.69716,9.54554,0.0720791
27,625.814,2.90556,0.0,0.0,0.0,0.0,-6.69299,9.59855,0.0705137
28,626.778,3.00174,0.0,0.0,0.0,0.0,-6.68883,9.69057,0.0679161
29,627.742,2.71737,0.0,0.0,0.0,0.0,-6.68467,9.40204,0.0626143
