,wavenumber,experimental,CO2 v2a phase I,CO2 v2b phase I,CO2 gas,linear baseline,residue,CO2 gas experimental
0,599.778,3.47445,0.0,0.0,5.44789e-09,4.67531,-1.20086,0.227444
1,600.743,3.45319,0.0,0.0,1.0194e-08,4.63491,-1.18172,0.216101
2,601.707,3.35649,0.0,0.0,1.88506e-08,4.59452,-1.23803,0.192239
3,602.671,3.23797,0.0,0.0,3.44486e-08,4.55413,-1.31616,0.180642
4,603.636,3.22495,0.0,0.0,6.22128e-08,4.51373,-1.28878,0.177622
5,604.6,3.23211,0.0,0.0,1.11027e-07,4.47334,-1.24123,0.16982
6,605.564,3.2239,0.0,0.0,1.95823e-07,4.43295,-1.20905,0.158096
7,606.528,3.16502,0.0,0.0,3.41322e-07,4.39256,-1.22753,0.15116
8,607.493,3.13595,0.0,0.0,5.87903e-07,4.35217,-1.21622,0.145417
9,608.457,3.10091,2.80404e-44,0.0,1.00077e-06,4.31177,-1.21087,0.13633
10,609.421,3.08516,1.1076e-42,0.0,1.68356e-06,4.27138,-1.18622,0.12671
11,610.385,3.0488,4.375e-41,0.0,2.79874e-06,4.23099,-1.18219,0.120122
12,611.35,3.00399,1.61387e-39,0.0,4.59817e-06,4.19059,-1.18661,0.115714
13,612.314,2.89397,5.5495e-38,0.0,7.46571e-06,4.1502,-1.25624,0.1095
14,613.278,2.87557,1.77893e-36,0.0,1.1979e-05,4.10981,-1.23425,0.104177
15,614.243,2.89535,5.31596e-35,0.0,1.89948e-05,4.06941,-1.17408,0.100336
16,615.207,2.94103,1.4804e-33,0.0,2.97642e-05,4.02902,-1.08802,0.100433
17,616.171,2.87516,3.84457e-32,0.0,4.60932e-05,3.98863,-1.11351,0.110984
18,617.135,2.8808,9.30736e-31,0.0,7.05414e-05,3.94824,-1.06751,0.133182
19,618.1,2.89723,2.10051e-29,0.0,0.000106688,3.90784,-1.01072,0.124942
20,619.064,2.9655,4.41783e-28,0.0,0.000159454,3.86745,-0.902107,0.0879623
21,620.028,2.96175,8.66452e-27,0.0,0.000235525,3.82706,-0.865544,0.0781742
22,620.992,2.93592,1.58417e-25,0.0,0.000343798,3.78666,-0.851086,0.0758359
23,621.957,2.93382,2.6993e-24,0.0,0.000495929,3.74627,-0.812947,0.0718114
24,622.921,3.04324,4.2889e-23,2.94512e-44,0.000706996,3.70588,-0.663343,0.0717789
25,623.885,2.99582,6.35272e-22,3.03425e-41,0.000996048,3.66549,-0.670663,0.0721009
26,624.85,2.89061,8.76945e-21,2.36823e-38,0.00138674,3.6251,-0.735876,0.0720791
27,625.814,2.91195,1.12882e-19,1.44671e-35,0.00190805,3.5847,-0.674665,0.0705137
28,626.778,2.9915,1.35455e-18,6.91214e-33,0.0025945,3.54431,-0.555401,0.0679161
29,627.742,2.87839,1.51525e-17,2.58309e-30,0.00348646,3.50392,-0.629012,0.0626143
30,628.707,2.82067,1.58012e-16,7.55002e-28,0.00463002,3.46352,-0.647481,0.0598387
31,629.671,2.97803,1.53608e-15,1.726e-25,0.00607645,3.42313,-0.451172,0.0670775
32,630.635,2.98642,1.39174e-14,3.08452e-23,0.0078809,3.38274,-0.404195,0.0694881
33,631.6,2.93604,1.17577e-13,4.31382e-21,0.0101015,3.34234,-0.416411,0.0673197
34,632.564,2.99257,9.25985e-13,4.71869e-19,0.0127958,3.30195,-0.322173,0.0716705
35,633.528,3.07254,6.79693e-12,4.03525e-17,0.0160182,3.26156,-0.205035,0.0778384
36,634.492,3.07681,4.65194e-11,2.7003e-15,0.0198175,3.22117,-0.164175,0.0818219
37,635.457,3.03289,2.96805e-10,1.41331e-13,0.0242306,3.18077,-0.172119,0.086023
38,636.421,3.01459,1.76502e-09,5.78342e-12,0.0292788,3.14038,-0.155074,0.0828598
39,637.385,2.9927,9.78649e-09,1.85179e-10,0.0349655,3.09999,-0.142255,0.0843794
40,638.349,2.9822,5.05848e-08,4.6375e-09,0.0412687,3.0596,-0.118662,0.0870243
41,639.314,2.98403,2.43744e-07,9.08368e-08,0.0481395,3.0192,-0.0833094,0.0911435
42,640.278,3.0027,1.09487e-06,1.39163e-06,0.0555,2.97881,-0.0316095,0.0960154
43,641.242,3.00814,4.58406e-06,1.66712e-05,0.063241,2.93842,0.00645827,0.0972497
44,642.207,3.02846,1.78945e-05,0.000156246,0.0712271,2.89803,0.0590335,0.0997352
45,643.171,3.05292,6.5119e-05,0.00114535,0.0792947,2.85763,0.114782,0.105864
46,644.135,3.06845,0.000220909,0.00656679,0.0872606,2.81724,0.157168,0.11202
47,645.099,3.11096,0.000698533,0.0294435,0.0949275,2.77685,0.209047,0.11473
48,646.064,3.19571,0.00205936,0.103273,0.102096,2.73645,0.251824,0.1186
49,647.028,3.28506,0.00565971,0.283312,0.108571,2.69606,0.191461,0.131147
50,647.992,3.39658,0.0144989,0.60786,0.114174,2.65567,0.00437379,0.149624
51,648.956,3.60909,0.0346286,1.02015,0.118752,2.61528,-0.179719,0.161288
52,649.921,3.96598,0.0771001,1.3391,0.122192,2.57488,-0.14729,0.151173
