Spectra_filename,Profile point,CO2 v3b Area,v3a Area,Platelets Area,A-center atomic ppm,B-center atomic ppm
FN7114 line across CO2 30 microns0001.CSV,1,372.86809846631,183.92528906792998,0.0,4.8229941713424,0.0
FN7114 line across CO2 30 microns0002.CSV,2,358.48543570127003,187.30514803333,0.0,2.8273671839177994,0.0
FN7114 line across CO2 30 microns0003.CSV,3,360.00146484718,184.37477467619,0.0,2.4272887397453,0.0
FN7114 line across CO2 30 microns0004.CSV,4,362.31399682402997,181.42776417983,0.0,1.9935989168198,0.0
FN7114 line across CO2 30 microns0005.CSV,5,361.75889248297005,179.63494948625998,0.0,2.1488324545956,0.0
FN7114 line across CO2 30 microns0006.CSV,6,369.23820920493006,175.66108500029998,0.0,2.1576936630148,0.0
FN7114 line across CO2 30 microns0007.CSV,7,378.12766672547,171.16829147195,0.0,2.0518071695908002,0.0
FN7114 line across CO2 30 microns0008.CSV,8,390.41936060655,166.91809166542,0.0,2.2546676486689,0.0
FN7114 line across CO2 30 microns0009.CSV,9,389.53308477123994,166.36614412251998,0.0,2.107017438592,0.0
FN7114 line across CO2 30 microns0010.CSV,10,384.57060766526,164.41786548697,0.0,2.1697220321448003,0.0
FN7114 line across CO2 30 microns0011.CSV,11,369.39392520026996,166.80594135018,0.0,2.1451069418627,0.0
FN7114 line across CO2 30 microns0012.CSV,12,345.60988141893,170.07335182418998,0.0,2.2394798342033,0.0
FN7114 line across CO2 30 microns0013.CSV,13,328.841976144724,171.12651009746,0.0,2.4504411540782,0.0
FN7114 line across CO2 30 microns0014.CSV,14,320.596973486481,170.89486954568997,0.0,2.6039486573093,0.0
FN7114 line across CO2 30 microns0015.CSV,15,317.961138326071,171.4677645948,0.0,2.6567934279062997,0.0
FN7114 line across CO2 30 microns0016.CSV,16,310.93398699151004,170.80843330816,0.0,2.5738070787869,0.0
FN7114 line across CO2 30 microns0017.CSV,17,276.032965125985,177.31793640043,0.0,2.7150861790915,0.0
FN7114 line across CO2 30 microns0018.CSV,18,249.77849494974197,178.00428319137,0.0,2.9226237568793,0.0
FN7114 line across CO2 30 microns0019.CSV,19,253.64933551886804,172.48515950216,0.0,2.8674808604786004,0.0
FN7114 line across CO2 30 microns0020.CSV,20,277.533543505017,160.84194669599,0.0,2.7737683029495,0.0
FN7114 line across CO2 30 microns0021.CSV,21,309.482751821252,145.55843936533998,0.0,2.4634261899678,0.0
FN7114 line across CO2 30 microns0022.CSV,22,366.830616563524,121.98975085033001,0.0,2.0463862152438,0.0
FN7114 line across CO2 30 microns0023.CSV,23,415.90399034130996,100.05235717946998,0.0,1.6202410043401998,0.0
FN7114 line across CO2 30 microns0024.CSV,24,485.61172708238007,76.34934308360799,0.0,0.88794323605177,0.0
