Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Sun Jun  7 16:07:28 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_A, Acenter, 4.8229941713424, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_A, Acenter, 2.8273671839178, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_A, Acenter, 2.4272887397453, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_A, Acenter, 1.9935989168198, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_A, Acenter, 2.1488324545956, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_A, Acenter, 2.1576936630148, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_A, Acenter, 2.0518071695908, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_A, Acenter, 2.2546676486689, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_A, Acenter, 2.107017438592, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_A, Acenter, 2.1697220321448, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_A, Acenter, 2.1451069418627, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_A, Acenter, 2.2394798342033, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_A, Acenter, 2.4504411540782, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_A, Acenter, 2.6039486573093, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_A, Acenter, 2.6567934279063, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_A, Acenter, 2.5738070787869, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_A, Acenter, 2.7150861790915, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_A, Acenter, 2.9226237568793, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_A, Acenter, 2.8674808604786, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_A, Acenter, 2.7737683029495, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_A, Acenter, 2.4634261899678, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_A, Acenter, 2.0463862152438, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_A, Acenter, 1.6202410043402, 
