Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0001.CSV, 0001, Spec0001_A, Acenter, 2.5881325133742, 
FN7114 map truncated version0002.CSV, 0002, Spec0002_A, Acenter, 2.243144795814, 
FN7114 map truncated version0003.CSV, 0003, Spec0003_A, Acenter, 2.9415995535349, 
FN7114 map truncated version0004.CSV, 0004, Spec0004_A, Acenter, 3.3876100272387, 
FN7114 map truncated version0005.CSV, 0005, Spec0005_A, Acenter, 6.4436420554682, 
FN7114 map truncated version0006.CSV, 0006, Spec0006_A, Acenter, 4.5268644134701, 
FN7114 map truncated version0007.CSV, 0007, Spec0007_A, Acenter, 5.5634785006714, 
FN7114 map truncated version0008.CSV, 0008, Spec0008_A, Acenter, 4.6433981615074, 
FN7114 map truncated version0009.CSV, 0009, Spec0009_A, Acenter, 2.8801597684706, 
FN7114 map truncated version0010.CSV, 0010, Spec0010_A, Acenter, 2.6055803054852, 
FN7114 map truncated version0011.CSV, 0011, Spec0011_A, Acenter, 2.5314118863416, 
FN7114 map truncated version0012.CSV, 0012, Spec0012_A, Acenter, 3.0403419819946, 
FN7114 map truncated version0013.CSV, 0013, Spec0013_A, Acenter, 3.8018837894979, 
FN7114 map truncated version0014.CSV, 0014, Spec0014_A, Acenter, 4.3370860387258, 
FN7114 map truncated version0015.CSV, 0015, Spec0015_A, Acenter, 17.332545382998, 
FN7114 map truncated version0016.CSV, 0016, Spec0016_A, Acenter, 3.2443275044066, 
FN7114 map truncated version0017.CSV, 0017, Spec0017_A, Acenter, 2.9394341921114, 
FN7114 map truncated version0018.CSV, 0018, Spec0018_A, Acenter, 3.1746043576393, 
FN7114 map truncated version0019.CSV, 0019, Spec0019_A, Acenter, 3.0160329826402, 
FN7114 map truncated version0020.CSV, 0020, Spec0020_A, Acenter, 2.9203620712439, 
FN7114 map truncated version0021.CSV, 0021, Spec0021_A, Acenter, 5.702330239075, 
FN7114 map truncated version0022.CSV, 0022, Spec0022_A, Acenter, 2.5409140096518, 
FN7114 map truncated version0023.CSV, 0023, Spec0023_A, Acenter, 2.5888584984969, 
FN7114 map truncated version0024.CSV, 0024, Spec0024_A, Acenter, 2.5470530717014, 
FN7114 map truncated version0025.CSV, 0025, Spec0025_A, Acenter, 2.9469627040195, 
FN7114 map truncated version0026.CSV, 0026, Spec0026_A, Acenter, 2.8773860809562, 
FN7114 map truncated version0027.CSV, 0027, Spec0027_A, Acenter, 3.265625379829, 
FN7114 map truncated version0028.CSV, 0028, Spec0028_A, Acenter, 3.3989002148975, 
FN7114 map truncated version0029.CSV, 0029, Spec0029_A, Acenter, 4.3049142397118, 
FN7114 map truncated version0030.CSV, 0030, Spec0030_A, Acenter, 6.4874496527448, 
FN7114 map truncated version0031.CSV, 0031, Spec0031_A, Acenter, 2.9705967582079, 
FN7114 map truncated version0032.CSV, 0032, Spec0032_A, Acenter, 2.672933476495, 
