Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Sun Jun  7 16:07:28 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0024.CSV, 0024, Spec0024_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0025.CSV, 0025, Spec0025_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0026.CSV, 0026, Spec0026_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0027.CSV, 0027, Spec0027_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0028.CSV, 0028, Spec0028_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0029.CSV, 0029, Spec0029_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0030.CSV, 0030, Spec0030_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0031.CSV, 0031, Spec0031_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0032.CSV, 0032, Spec0032_B, Bcenter, 0, 
FN7114 line across CO2 30 microns0033.CSV, 0033, Spec0033_B, Bcenter, 0.10731928542096, 
FN7114 line across CO2 30 microns0034.CSV, 0034, Spec0034_B, Bcenter, 1.3129340912248, 
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_B, Bcenter, 1.6689453367328, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_B, Bcenter, 2.452809845635, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_B, Bcenter, 2.8120541845075, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_B, Bcenter, 2.8408872014223, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_B, Bcenter, 3.59637487904, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_B, Bcenter, 4.3603996337795, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_B, Bcenter, 5.9166371606786, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_B, Bcenter, 8.7241248548529, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_B, Bcenter, 12.698600236156, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_B, Bcenter, 27.034349857488, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_B, Bcenter, 31.280033501708, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_B, Bcenter, 33.509811452676, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_B, Bcenter, 34.464177921469, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_B, Bcenter, 35.527566814033, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_B, Bcenter, 36.701503951196, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_B, Bcenter, 39.070225828396, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_B, Bcenter, 42.11516202452, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_B, Bcenter, 47.056282258092, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_B, Bcenter, 52.383380091796, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_B, Bcenter, 58.482910268263, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_B, Bcenter, 64.234481122388, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_B, Bcenter, 68.242406483987, 
