Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0001.CSV, 0001, Spec0001_B, Bcenter, 0, 
FN7114 map truncated version0002.CSV, 0002, Spec0002_B, Bcenter, 0, 
FN7114 map truncated version0003.CSV, 0003, Spec0003_B, Bcenter, 0, 
FN7114 map truncated version0004.CSV, 0004, Spec0004_B, Bcenter, 0, 
FN7114 map truncated version0005.CSV, 0005, Spec0005_B, Bcenter, 1.7763568394003e-15, 
FN7114 map truncated version0006.CSV, 0006, Spec0006_B, Bcenter, 0, 
FN7114 map truncated version0007.CSV, 0007, Spec0007_B, Bcenter, 0, 
FN7114 map truncated version0008.CSV, 0008, Spec0008_B, Bcenter, 0, 
FN7114 map truncated version0009.CSV, 0009, Spec0009_B, Bcenter, 0, 
FN7114 map truncated version0010.CSV, 0010, Spec0010_B, Bcenter, 0, 
FN7114 map truncated version0011.CSV, 0011, Spec0011_B, Bcenter, 0, 
FN7114 map truncated version0012.CSV, 0012, Spec0012_B, Bcenter, 0, 
FN7114 map truncated version0013.CSV, 0013, Spec0013_B, Bcenter, 0, 
FN7114 map truncated version0014.CSV, 0014, Spec0014_B, Bcenter, 0, 
FN7114 map truncated version0015.CSV, 0015, Spec0015_B, Bcenter, 0, 
FN7114 map truncated version0016.CSV, 0016, Spec0016_B, Bcenter, 0, 
FN7114 map truncated version0017.CSV, 0017, Spec0017_B, Bcenter, 0, 
FN7114 map truncated version0018.CSV, 0018, Spec0018_B, Bcenter, 0, 
FN7114 map truncated version0019.CSV, 0019, Spec0019_B, Bcenter, 0, 
FN7114 map truncated version0020.CSV, 0020, Spec0020_B, Bcenter, 0, 
FN7114 map truncated version0021.CSV, 0021, Spec0021_B, Bcenter, 1.7763568394003e-15, 
FN7114 map truncated version0022.CSV, 0022, Spec0022_B, Bcenter, 0, 
FN7114 map truncated version0023.CSV, 0023, Spec0023_B, Bcenter, 0, 
