Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Fri Jun  5 15:51:09 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0001.CSV, 0001, Spec0001_CO2GasV2, CO2GasV2, 0.45803915798236, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0002.CSV, 0002, Spec0002_CO2GasV2, CO2GasV2, 0.74519677200505, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0003.CSV, 0003, Spec0003_CO2GasV2, CO2GasV2, 0.76719861336265, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0004.CSV, 0004, Spec0004_CO2GasV2, CO2GasV2, 0.79435253742992, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0005.CSV, 0005, Spec0005_CO2GasV2, CO2GasV2, 0.85419725772361, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0006.CSV, 0006, Spec0006_CO2GasV2, CO2GasV2, 0.79226543038263, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0007.CSV, 0007, Spec0007_CO2GasV2, CO2GasV2, 0.87376792931147, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0008.CSV, 0008, Spec0008_CO2GasV2, CO2GasV2, 1.1254227270576, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0009.CSV, 0009, Spec0009_CO2GasV2, CO2GasV2, 1.208893339489, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0010.CSV, 0010, Spec0010_CO2GasV2, CO2GasV2, 1.3099417765592, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0011.CSV, 0011, Spec0011_CO2GasV2, CO2GasV2, 1.2893314765283, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0012.CSV, 0012, Spec0012_CO2GasV2, CO2GasV2, 1.2970028240421, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0013.CSV, 0013, Spec0013_CO2GasV2, CO2GasV2, 1.5548334056427, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0014.CSV, 0014, Spec0014_CO2GasV2, CO2GasV2, 1.5610228399314, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0015.CSV, 0015, Spec0015_CO2GasV2, CO2GasV2, 1.5331052911278, 
