Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Sat Jun  6 20:53:00 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_CO2GasV2, CO2GasV2, 0.57782402343254, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_CO2GasV2, CO2GasV2, 0.45981237106923, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_CO2GasV2, CO2GasV2, 0.53579569327228, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_CO2GasV2, CO2GasV2, 0.60476027842854, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_CO2GasV2, CO2GasV2, 0.70913378888695, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_CO2GasV2, CO2GasV2, 0.71834663709257, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_CO2GasV2, CO2GasV2, 0.83733505984059, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_CO2GasV2, CO2GasV2, 0.93247948292137, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_CO2GasV2, CO2GasV2, 0.88740543547392, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_CO2GasV2, CO2GasV2, 0.80868129776439, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_CO2GasV2, CO2GasV2, 0.84354911485479, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_CO2GasV2, CO2GasV2, 0.72413091783463, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_CO2GasV2, CO2GasV2, 0.6573880734222, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_CO2GasV2, CO2GasV2, 0.58409136586829, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_CO2GasV2, CO2GasV2, 0.61597320152293, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_CO2GasV2, CO2GasV2, 0.5294206594143, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_CO2GasV2, CO2GasV2, 0.24758982946698, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_CO2GasV2, CO2GasV2, 0.082092097085795, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_CO2GasV2, CO2GasV2, 0.079123305248707, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_CO2GasV2, CO2GasV2, 0.054538015485086, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_CO2GasV2, CO2GasV2, 0.17578275461761, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_CO2GasV2, CO2GasV2, 0.38942937552215, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_CO2GasV2, CO2GasV2, 0.65693988360156, 
FN7114 line across CO2 30 microns0024.CSV, 0024, Spec0024_CO2GasV2, CO2GasV2, 0.88133565357571, 
FN7114 line across CO2 30 microns0025.CSV, 0025, Spec0025_CO2GasV2, CO2GasV2, 1.0640361611618, 
FN7114 line across CO2 30 microns0026.CSV, 0026, Spec0026_CO2GasV2, CO2GasV2, 1.3597682119478, 
FN7114 line across CO2 30 microns0027.CSV, 0027, Spec0027_CO2GasV2, CO2GasV2, 1.3222062415243, 
FN7114 line across CO2 30 microns0028.CSV, 0028, Spec0028_CO2GasV2, CO2GasV2, 1.2727086652575, 
FN7114 line across CO2 30 microns0029.CSV, 0029, Spec0029_CO2GasV2, CO2GasV2, 1.1373199269036, 
FN7114 line across CO2 30 microns0030.CSV, 0030, Spec0030_CO2GasV2, CO2GasV2, 1.0448597570714, 
FN7114 line across CO2 30 microns0031.CSV, 0031, Spec0031_CO2GasV2, CO2GasV2, 0.848622659462, 
FN7114 line across CO2 30 microns0032.CSV, 0032, Spec0032_CO2GasV2, CO2GasV2, 0.80054510117382, 
FN7114 line across CO2 30 microns0033.CSV, 0033, Spec0033_CO2GasV2, CO2GasV2, 0.59042233869992, 
FN7114 line across CO2 30 microns0034.CSV, 0034, Spec0034_CO2GasV2, CO2GasV2, 0.63179045233764, 
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_CO2GasV2, CO2GasV2, 0.61984466484246, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_CO2GasV2, CO2GasV2, 0.65914830630541, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_CO2GasV2, CO2GasV2, 0.77649637726917, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_CO2GasV2, CO2GasV2, 0.76838450621448, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_CO2GasV2, CO2GasV2, 0.84798101569524, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_CO2GasV2, CO2GasV2, 0.72567223432151, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_CO2GasV2, CO2GasV2, 0.6301674205983, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_CO2GasV2, CO2GasV2, 0.35413715552588, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_CO2GasV2, CO2GasV2, 0.26341090355466, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_CO2GasV2, CO2GasV2, 0.35084789353598, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_CO2GasV2, CO2GasV2, 0.28657960623324, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_CO2GasV2, CO2GasV2, 0.22863304786881, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_CO2GasV2, CO2GasV2, 0.1545554447867, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_CO2GasV2, CO2GasV2, 0.087362072150527, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_CO2GasV2, CO2GasV2, 0.19033369698394, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_CO2GasV2, CO2GasV2, 0.09709817601549, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_CO2GasV2, CO2GasV2, 0.29735085354308, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_CO2GasV2, CO2GasV2, 0.46893894141059, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_CO2GasV2, CO2GasV2, 0.76945067964592, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_CO2GasV2, CO2GasV2, 0.82833622365883, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_CO2GasV2, CO2GasV2, 0.97365871859691, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_CO2GasV2, CO2GasV2, 0.98086961642411, 
