Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 10:20:07 2020 ---
FN7114 map truncated version0001.CSV, 0001, Spec0001_CO2GasV3, CO2GasV3, -0.010046141385225, 
FN7114 map truncated version0002.CSV, 0002, Spec0002_CO2GasV3, CO2GasV3, 0.18142235751588, 
FN7114 map truncated version0003.CSV, 0003, Spec0003_CO2GasV3, CO2GasV3, 0.18961590736486, 
FN7114 map truncated version0004.CSV, 0004, Spec0004_CO2GasV3, CO2GasV3, 0.20423253509134, 
FN7114 map truncated version0005.CSV, 0005, Spec0005_CO2GasV3, CO2GasV3, 0.049296739659585, 
FN7114 map truncated version0006.CSV, 0006, Spec0006_CO2GasV3, CO2GasV3, -0.093481009491745, 
FN7114 map truncated version0007.CSV, 0007, Spec0007_CO2GasV3, CO2GasV3, -0.14828279395205, 
FN7114 map truncated version0008.CSV, 0008, Spec0008_CO2GasV3, CO2GasV3, -0.024458565038013, 
FN7114 map truncated version0009.CSV, 0009, Spec0009_CO2GasV3, CO2GasV3, 0.081042104310498, 
FN7114 map truncated version0010.CSV, 0010, Spec0010_CO2GasV3, CO2GasV3, 0.20312370165403, 
FN7114 map truncated version0011.CSV, 0011, Spec0011_CO2GasV3, CO2GasV3, 0.20637517566693, 
FN7114 map truncated version0012.CSV, 0012, Spec0012_CO2GasV3, CO2GasV3, 0.19840630316932, 
FN7114 map truncated version0013.CSV, 0013, Spec0013_CO2GasV3, CO2GasV3, 0.051570262424017, 
FN7114 map truncated version0014.CSV, 0014, Spec0014_CO2GasV3, CO2GasV3, -0.26564669717437, 
FN7114 map truncated version0015.CSV, 0015, Spec0015_CO2GasV3, CO2GasV3, -6.7225070950035, 
FN7114 map truncated version0016.CSV, 0016, Spec0016_CO2GasV3, CO2GasV3, 0.32317906096062, 
FN7114 map truncated version0017.CSV, 0017, Spec0017_CO2GasV3, CO2GasV3, 0.39656843557154, 
FN7114 map truncated version0018.CSV, 0018, Spec0018_CO2GasV3, CO2GasV3, 0.46602379023289, 
FN7114 map truncated version0019.CSV, 0019, Spec0019_CO2GasV3, CO2GasV3, 0.4546594062282, 
FN7114 map truncated version0020.CSV, 0020, Spec0020_CO2GasV3, CO2GasV3, 0.58293806841743, 
FN7114 map truncated version0021.CSV, 0021, Spec0021_CO2GasV3, CO2GasV3, 0.66034966825597, 
