Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Fri Jun  5 12:07:34 2020 ---
FN7114Profile#2-31-01-20200001.CSV, 0001, Spec0001_CO2GasV3, CO2GasV3, 0.52849486112368, 
FN7114Profile#2-31-01-20200002.CSV, 0002, Spec0002_CO2GasV3, CO2GasV3, 0.3416988363089, 
FN7114Profile#2-31-01-20200003.CSV, 0003, Spec0003_CO2GasV3, CO2GasV3, 0.23374867698924, 
FN7114Profile#2-31-01-20200004.CSV, 0004, Spec0004_CO2GasV3, CO2GasV3, 0.34838495761729, 
FN7114Profile#2-31-01-20200005.CSV, 0005, Spec0005_CO2GasV3, CO2GasV3, 0.49355898797209, 
FN7114Profile#2-31-01-20200006.CSV, 0006, Spec0006_CO2GasV3, CO2GasV3, 0.38975391776623, 
FN7114Profile#2-31-01-20200007.CSV, 0007, Spec0007_CO2GasV3, CO2GasV3, 0.11200017007059, 
FN7114Profile#2-31-01-20200008.CSV, 0008, Spec0008_CO2GasV3, CO2GasV3, 0.15670068841762, 
FN7114Profile#2-31-01-20200009.CSV, 0009, Spec0009_CO2GasV3, CO2GasV3, 0.21257653038371, 
FN7114Profile#2-31-01-20200010.CSV, 0010, Spec0010_CO2GasV3, CO2GasV3, 0.23237658726108, 
FN7114Profile#2-31-01-20200011.CSV, 0011, Spec0011_CO2GasV3, CO2GasV3, 0.28235321066467, 
FN7114Profile#2-31-01-20200012.CSV, 0012, Spec0012_CO2GasV3, CO2GasV3, 0.47355245018406, 
FN7114Profile#2-31-01-20200013.CSV, 0013, Spec0013_CO2GasV3, CO2GasV3, 0.63433975066693, 
FN7114Profile#2-31-01-20200014.CSV, 0014, Spec0014_CO2GasV3, CO2GasV3, 0.57173531577561, 
FN7114Profile#2-31-01-20200015.CSV, 0015, Spec0015_CO2GasV3, CO2GasV3, 0.030059730727957, 
FN7114Profile#2-31-01-20200016.CSV, 0016, Spec0016_CO2GasV3, CO2GasV3, -0.08521922348312, 
FN7114Profile#2-31-01-20200017.CSV, 0017, Spec0017_CO2GasV3, CO2GasV3, -0.19796099904184, 
FN7114Profile#2-31-01-20200018.CSV, 0018, Spec0018_CO2GasV3, CO2GasV3, -0.28704057122396, 
FN7114Profile#2-31-01-20200019.CSV, 0019, Spec0019_CO2GasV3, CO2GasV3, -0.038111048530167, 
FN7114Profile#2-31-01-20200020.CSV, 0020, Spec0020_CO2GasV3, CO2GasV3, -0.21371317217768, 
FN7114Profile#2-31-01-20200021.CSV, 0021, Spec0021_CO2GasV3, CO2GasV3, -0.27586250249178, 
