Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, a0, a1, --- Created at Fri Jun  5 15:53:30 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0001.CSV, 0001, Spec0001_CO2_linear, Linear, -9.7998226793877, 0.0044963475208072, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0002.CSV, 0002, Spec0002_CO2_linear, Linear, -9.6294491150615, 0.0044099530463385, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0003.CSV, 0003, Spec0003_CO2_linear, Linear, -9.8064717611923, 0.0044891598796972, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0004.CSV, 0004, Spec0004_CO2_linear, Linear, -9.8641735357317, 0.0045184575608301, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0005.CSV, 0005, Spec0005_CO2_linear, Linear, -9.747364525056, 0.0044659610570787, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0006.CSV, 0006, Spec0006_CO2_linear, Linear, -9.7378168723742, 0.0044558513062911, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0007.CSV, 0007, Spec0007_CO2_linear, Linear, -9.6776902304875, 0.0044385210271855, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0008.CSV, 0008, Spec0008_CO2_linear, Linear, -9.5950825838851, 0.0043926019148985, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0009.CSV, 0009, Spec0009_CO2_linear, Linear, -9.7049651828498, 0.0044456966282565, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0010.CSV, 0010, Spec0010_CO2_linear, Linear, -9.6574572555371, 0.0044297274156885, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0011.CSV, 0011, Spec0011_CO2_linear, Linear, -9.7813235301625, 0.0044813941100584, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0012.CSV, 0012, Spec0012_CO2_linear, Linear, -9.7290349381688, 0.0044582545371113, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0013.CSV, 0013, Spec0013_CO2_linear, Linear, -9.870631723927, 0.0045346153317506, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0014.CSV, 0014, Spec0014_CO2_linear, Linear, -9.6301831202463, 0.0044075495173245, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0015.CSV, 0015, Spec0015_CO2_linear, Linear, -9.9483151080345, 0.0045651397403593, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0016.CSV, 0016, Spec0016_CO2_linear, Linear, -9.8244918484977, 0.0045032199270296, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0017.CSV, 0017, Spec0017_CO2_linear, Linear, -9.8893497710754, 0.0045374730420727, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0018.CSV, 0018, Spec0018_CO2_linear, Linear, -9.8194212041041, 0.0045081574778903, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0019.CSV, 0019, Spec0019_CO2_linear, Linear, -9.5055670649985, 0.004356678117581, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0020.CSV, 0020, Spec0020_CO2_linear, Linear, -9.69415262107, 0.0044385863231098, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0021.CSV, 0021, Spec0021_CO2_linear, Linear, -9.5255707479605, 0.0043737574192483, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0022.CSV, 0022, Spec0022_CO2_linear, Linear, -9.508180866053, 0.0043535497444072, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0023.CSV, 0023, Spec0023_CO2_linear, Linear, -9.6573835307823, 0.0044258071445027, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0024.CSV, 0024, Spec0024_CO2_linear, Linear, -9.5904657883549, 0.0043929009877946, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0025.CSV, 0025, Spec0025_CO2_linear, Linear, -9.6978239463022, 0.0044427414302621, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0026.CSV, 0026, Spec0026_CO2_linear, Linear, -9.7295445423826, 0.004461507730883, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0027.CSV, 0027, Spec0027_CO2_linear, Linear, -9.7870536782536, 0.0044878110201482, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0028.CSV, 0028, Spec0028_CO2_linear, Linear, -9.7633440225586, 0.0044818713966627, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0029.CSV, 0029, Spec0029_CO2_linear, Linear, -9.8146448701105, 0.0045062773190699, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0030.CSV, 0030, Spec0030_CO2_linear, Linear, -9.6985435579707, 0.0044410959572042, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0031.CSV, 0031, Spec0031_CO2_linear, Linear, -9.640403379318, 0.0044234428862078, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0032.CSV, 0032, Spec0032_CO2_linear, Linear, -9.8270367572606, 0.0045100297245297, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0033.CSV, 0033, Spec0033_CO2_linear, Linear, -9.6379925615061, 0.004419439574535, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0034.CSV, 0034, Spec0034_CO2_linear, Linear, -9.3937998325702, 0.0043156699150568, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0035.CSV, 0035, Spec0035_CO2_linear, Linear, -9.506291745888, 0.0043647884516284, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0036.CSV, 0036, Spec0036_CO2_linear, Linear, -9.536731497549, 0.0043801389877839, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0037.CSV, 0037, Spec0037_CO2_linear, Linear, -9.3601412217968, 0.0042996584161241, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0038.CSV, 0038, Spec0038_CO2_linear, Linear, -9.4550961863051, 0.0043404860583815, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0039.CSV, 0039, Spec0039_CO2_linear, Linear, -9.4289273762867, 0.0043285799324651, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0040.CSV, 0040, Spec0040_CO2_linear, Linear, -9.1610960731502, 0.0042005164184697, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0041.CSV, 0041, Spec0041_CO2_linear, Linear, -9.3132983078401, 0.0042641892873129, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0042.CSV, 0042, Spec0042_CO2_linear, Linear, -9.3937341693484, 0.0043024224327669, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0043.CSV, 0043, Spec0043_CO2_linear, Linear, -9.3235229953521, 0.0042697225710533, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0044.CSV, 0044, Spec0044_CO2_linear, Linear, -9.2887054889278, 0.0042538874691649, 
