Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Sun Jun  7 16:07:28 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_O, Oband, 394.21795716103, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_O, Oband, 374.66231412016, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_O, Oband, 372.7342993018, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_O, Oband, 385.66010345501, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_O, Oband, 381.98419260767, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_O, Oband, 380.41767612006, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_O, Oband, 374.54199680734, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_O, Oband, 369.81047774281, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_O, Oband, 373.02500852789, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_O, Oband, 374.05673427454, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_O, Oband, 379.45799248701, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_O, Oband, 383.86346897054, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_O, Oband, 384.87784712749, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_O, Oband, 386.45697521728, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_O, Oband, 387.85224004843, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_O, Oband, 390.83515660646, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_O, Oband, 403.17855275123, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_O, Oband, 410.63513766836, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_O, Oband, 412.39427881844, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_O, Oband, 406.09260352219, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_O, Oband, 398.92520796235, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_O, Oband, 383.71308633382, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_O, Oband, 369.25070331518, 
FN7114 line across CO2 30 microns0024.CSV, 0024, Spec0024_O, Oband, 360.8867151294, 
FN7114 line across CO2 30 microns0025.CSV, 0025, Spec0025_O, Oband, 348.68296866926, 
FN7114 line across CO2 30 microns0026.CSV, 0026, Spec0026_O, Oband, 350.20955005716, 
FN7114 line across CO2 30 microns0027.CSV, 0027, Spec0027_O, Oband, 351.50979798852, 
FN7114 line across CO2 30 microns0028.CSV, 0028, Spec0028_O, Oband, 353.88638818574, 
FN7114 line across CO2 30 microns0029.CSV, 0029, Spec0029_O, Oband, 355.73423527777, 
FN7114 line across CO2 30 microns0030.CSV, 0030, Spec0030_O, Oband, 357.61821827364, 
FN7114 line across CO2 30 microns0031.CSV, 0031, Spec0031_O, Oband, 365.16941566905, 
FN7114 line across CO2 30 microns0032.CSV, 0032, Spec0032_O, Oband, 362.40899658243, 
FN7114 line across CO2 30 microns0033.CSV, 0033, Spec0033_O, Oband, 361.45783183739, 
FN7114 line across CO2 30 microns0034.CSV, 0034, Spec0034_O, Oband, 355.33028093855, 
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_O, Oband, 348.95017259605, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_O, Oband, 344.67967274475, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_O, Oband, 345.46447796288, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_O, Oband, 341.06110924005, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_O, Oband, 337.61060870296, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_O, Oband, 340.20124625128, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_O, Oband, 345.7933811275, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_O, Oband, 345.36235969994, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_O, Oband, 346.35781082234, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_O, Oband, 302.16247171875, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_O, Oband, 302.33951838637, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_O, Oband, 302.94314099785, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_O, Oband, 303.4944865012, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_O, Oband, 299.49579594142, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_O, Oband, 293.43111648512, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_O, Oband, 287.18022678257, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_O, Oband, 283.83972576209, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_O, Oband, 272.66880221202, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_O, Oband, 269.64936865625, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_O, Oband, 268.13682217824, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_O, Oband, 257.27094072754, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_O, Oband, 262.603113551, 
