Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0001.CSV, 0001, Spec0001_O, Oband, 340.44525717411, 
FN7114 map truncated version0002.CSV, 0002, Spec0002_O, Oband, 329.7278868713, 
FN7114 map truncated version0003.CSV, 0003, Spec0003_O, Oband, 344.67128309249, 
FN7114 map truncated version0004.CSV, 0004, Spec0004_O, Oband, 349.36097972116, 
FN7114 map truncated version0005.CSV, 0005, Spec0005_O, Oband, 330.82753798138, 
FN7114 map truncated version0006.CSV, 0006, Spec0006_O, Oband, 424.29407767663, 
FN7114 map truncated version0007.CSV, 0007, Spec0007_O, Oband, 426.16139144859, 
FN7114 map truncated version0008.CSV, 0008, Spec0008_O, Oband, 405.90864728036, 
FN7114 map truncated version0009.CSV, 0009, Spec0009_O, Oband, 375.89310434867, 
FN7114 map truncated version0010.CSV, 0010, Spec0010_O, Oband, 375.69138167073, 
FN7114 map truncated version0011.CSV, 0011, Spec0011_O, Oband, 369.6142383125, 
FN7114 map truncated version0012.CSV, 0012, Spec0012_O, Oband, 390.65521365288, 
FN7114 map truncated version0013.CSV, 0013, Spec0013_O, Oband, 396.61104768947, 
FN7114 map truncated version0014.CSV, 0014, Spec0014_O, Oband, 421.8944930943, 
FN7114 map truncated version0015.CSV, 0015, Spec0015_O, Oband, 1286.6514800704, 
FN7114 map truncated version0016.CSV, 0016, Spec0016_O, Oband, 315.97923064496, 
FN7114 map truncated version0017.CSV, 0017, Spec0017_O, Oband, 331.13403433233, 
FN7114 map truncated version0018.CSV, 0018, Spec0018_O, Oband, 350.28525006806, 
FN7114 map truncated version0019.CSV, 0019, Spec0019_O, Oband, 352.76778236513, 
FN7114 map truncated version0020.CSV, 0020, Spec0020_O, Oband, 361.63958399203, 
FN7114 map truncated version0021.CSV, 0021, Spec0021_O, Oband, 323.6144466627, 
FN7114 map truncated version0022.CSV, 0022, Spec0022_O, Oband, 374.37882858585, 
FN7114 map truncated version0023.CSV, 0023, Spec0023_O, Oband, 381.70469976259, 
FN7114 map truncated version0024.CSV, 0024, Spec0024_O, Oband, 380.45728636824, 
FN7114 map truncated version0025.CSV, 0025, Spec0025_O, Oband, 382.08552612713, 
FN7114 map truncated version0026.CSV, 0026, Spec0026_O, Oband, 388.58407836528, 
FN7114 map truncated version0027.CSV, 0027, Spec0027_O, Oband, 375.93688064475, 
FN7114 map truncated version0028.CSV, 0028, Spec0028_O, Oband, 389.85218948412, 
FN7114 map truncated version0029.CSV, 0029, Spec0029_O, Oband, 362.02667629616, 
FN7114 map truncated version0030.CSV, 0030, Spec0030_O, Oband, 445.25324348983, 
FN7114 map truncated version0031.CSV, 0031, Spec0031_O, Oband, 334.94025345641, 
FN7114 map truncated version0032.CSV, 0032, Spec0032_O, Oband, 344.06475149274, 
FN7114 map truncated version0033.CSV, 0033, Spec0033_O, Oband, 347.17204985368, 
FN7114 map truncated version0034.CSV, 0034, Spec0034_O, Oband, 360.37289752736, 
FN7114 map truncated version0035.CSV, 0035, Spec0035_O, Oband, 362.42831426797, 
FN7114 map truncated version0036.CSV, 0036, Spec0036_O, Oband, 360.86684302323, 
