Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Thu Jun  4 12:18:53 2020 ---
FN7112 map truncated version0001.CSV, 0001, Spec0001_Voigt2, Voigt2, 118.70484251353, 2369.526625894, 36.008886744934, 0, 36.008886744934, 0, 21.625540392397, 3.0968957275188, 
FN7112 map truncated version0002.CSV, 0002, Spec0002_Voigt2, Voigt2, 111.99917842426, 2369.4528952779, 35.843664711477, 0, 35.843664711477, 0, 21.526314448992, 2.9354201582113, 
FN7112 map truncated version0003.CSV, 0003, Spec0003_Voigt2, Voigt2, 107.43055249618, 2369.3163504086, 36.083586693819, 0, 36.083586693819, 0, 21.670402283667, 2.7969580400558, 
FN7112 map truncated version0004.CSV, 0004, Spec0004_Voigt2, Voigt2, 102.44130867576, 2369.177087747, 36.041979350362, 0, 36.041979350362, 0, 21.645414527369, 2.6701418028582, 
FN7112 map truncated version0005.CSV, 0005, Spec0005_Voigt2, Voigt2, 99.858675306251, 2369.2003878021, 36.379064469267, 0, 36.379064469267, 0, 21.847854772362, 2.5787076918002, 
FN7112 map truncated version0006.CSV, 0006, Spec0006_Voigt2, Voigt2, 97.884690280752, 2369.3265290078, 36.581793907499, 0, 36.581793907499, 0, 21.969606207952, 2.5137241289561, 
FN7112 map truncated version0007.CSV, 0007, Spec0007_Voigt2, Voigt2, 96.885812382469, 2369.4678724566, 36.827384550203, 0, 36.827384550203, 0, 22.117098420122, 2.4714802827044, 
FN7112 map truncated version0008.CSV, 0008, Spec0008_Voigt2, Voigt2, 93.942956206108, 2369.4235677883, 37.076916411248, 0, 37.076916411248, 0, 22.266957575126, 2.3802822401145, 
FN7112 map truncated version0009.CSV, 0009, Spec0009_Voigt2, Voigt2, 90.188297299888, 2369.2486123836, 37.164269204229, 0, 37.164269204229, 0, 22.319418273686, 2.2797773372193, 
FN7112 map truncated version0010.CSV, 0010, Spec0010_Voigt2, Voigt2, 85.724861856729, 2369.0138134913, 37.398351289376, 0, 37.398351289376, 0, 22.459998892669, 2.1533874559535, 
FN7112 map truncated version0011.CSV, 0011, Spec0011_Voigt2, Voigt2, 81.488157947503, 2368.6664057298, 37.365008884144, 0, 37.365008884144, 0, 22.439974737625, 2.0487890879846, 
FN7112 map truncated version0012.CSV, 0012, Spec0012_Voigt2, Voigt2, 82.46763272537, 2368.7763895427, 37.327143920689, 0, 37.327143920689, 0, 22.417234509568, 2.0755184985076, 
FN7112 map truncated version0013.CSV, 0013, Spec0013_Voigt2, Voigt2, 88.244942280763, 2369.1601578378, 37.2213990956, 0, 37.2213990956, 0, 22.353728270054, 2.2272295059314, 
FN7112 map truncated version0014.CSV, 0014, Spec0014_Voigt2, Voigt2, 95.122220502506, 2369.455894711, 37.376687835405, 0, 37.376687835405, 0, 22.44698866266, 2.3908317135795, 
FN7112 map truncated version0015.CSV, 0015, Spec0015_Voigt2, Voigt2, 93.594656032861, 2369.2588061803, 37.286944860917, 0, 37.286944860917, 0, 22.393092513816, 2.3580993233408, 
FN7112 map truncated version0016.CSV, 0016, Spec0016_Voigt2, Voigt2, 100.58592419372, 2369.6557340605, 36.964973047394, 0, 36.964973047394, 0, 22.199728733706, 2.556316706723, 
FN7112 map truncated version0017.CSV, 0017, Spec0017_Voigt2, Voigt2, 106.7007844666, 2369.0344418243, 35.597010466212, 0, 35.597010466212, 0, 21.378183478387, 2.8159304736826, 
FN7112 map truncated version0018.CSV, 0018, Spec0018_Voigt2, Voigt2, 103.22781196384, 2369.0943612874, 36.188323995249, 0, 36.188323995249, 0, 21.733303443559, 2.6797611939864, 
FN7112 map truncated version0019.CSV, 0019, Spec0019_Voigt2, Voigt2, 103.13386624833, 2369.1940417586, 36.160838822102, 0, 36.160838822102, 0, 21.716796914871, 2.6793573754382, 
FN7112 map truncated version0020.CSV, 0020, Spec0020_Voigt2, Voigt2, 102.38664030004, 2369.2636848695, 36.24523489082, 0, 36.24523489082, 0, 21.767481919546, 2.6537512722611, 
FN7112 map truncated version0021.CSV, 0021, Spec0021_Voigt2, Voigt2, 101.54406732387, 2369.2357606995, 36.109607087437, 0, 36.109607087437, 0, 21.686029122598, 2.6417981623485, 
FN7112 map truncated version0022.CSV, 0022, Spec0022_Voigt2, Voigt2, 100.77472903672, 2369.2772128218, 36.201601387516, 0, 36.201601387516, 0, 21.74127733025, 2.6151204605641, 
FN7112 map truncated version0023.CSV, 0023, Spec0023_Voigt2, Voigt2, 101.14871524978, 2369.3730048936, 36.269197977442, 0, 36.269197977442, 0, 21.781873219709, 2.6199334538615, 
