Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Fri Jun  5 15:51:09 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0001.CSV, 0001, Spec0001_Voigt5, Voigt5, 7.1649027486266, 660.79707774445, 9.3565049673572, 0, 9.3565049673572, 0, 5.6191538921072, 0.71939015328857, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0002.CSV, 0002, Spec0002_Voigt5, Voigt5, 6.8939331776877, 660.78790574444, 8.0218901724254, 0, 8.0218901724254, 0, 4.817636023462, 0.80734321423341, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0003.CSV, 0003, Spec0003_Voigt5, Voigt5, 8.6604998177074, 660.37660687473, 9.214089737375, 0, 9.214089737375, 0, 5.5336248300652, 0.882995236937, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0004.CSV, 0004, Spec0004_Voigt5, Voigt5, 8.7505794468966, 660.42450203464, 8.6965555888541, 0, 8.6965555888541, 0, 5.2228138985149, 0.94527326809109, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0005.CSV, 0005, Spec0005_Voigt5, Voigt5, 9.4945073895605, 660.39325282165, 8.8290132861486, 0, 8.8290132861486, 0, 5.3023628527332, 1.0102482529868, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0006.CSV, 0006, Spec0006_Voigt5, Voigt5, 10.206524489879, 660.1531861538, 9.2619074926456, 0, 9.2619074926456, 0, 5.5623423187619, 1.0352501082949, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0007.CSV, 0007, Spec0007_Voigt5, Voigt5, 11.157831931308, 660.42153969034, 9.7591966034676, 0, 9.7591966034676, 0, 5.8609948660888, 1.0740724817013, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0008.CSV, 0008, Spec0008_Voigt5, Voigt5, 10.397289225524, 660.52605461773, 9.3152681778946, 0, 9.3152681778946, 0, 5.5943886761622, 1.0485583532042, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0009.CSV, 0009, Spec0009_Voigt5, Voigt5, 10.008862112396, 660.67292903737, 9.6265118308382, 0, 9.6265118308382, 0, 5.7813095392338, 0.97675040262429, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0010.CSV, 0010, Spec0010_Voigt5, Voigt5, 9.6238426418204, 660.53200942669, 9.3317542910199, 0, 9.3317542910199, 0, 5.6042895961166, 0.96884222814744, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0011.CSV, 0011, Spec0011_Voigt5, Voigt5, 9.9060751826542, 660.59614285676, 8.9833697136511, 0, 8.9833697136511, 0, 5.3950633347399, 1.0359294694755, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0012.CSV, 0012, Spec0012_Voigt5, Voigt5, 9.3763054025393, 660.47877712111, 9.4156304215225, 0, 9.4156304215225, 0, 5.6546623460711, 0.93551376671847, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0013.CSV, 0013, Spec0013_Voigt5, Voigt5, 9.115922039454, 660.6823591968, 9.422464963107, 0, 9.422464963107, 0, 5.6587669065965, 0.90887448751498, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0014.CSV, 0014, Spec0014_Voigt5, Voigt5, 8.8138958376754, 660.84947888199, 9.3207052987067, 0, 9.3207052987067, 0, 5.5976539999856, 0.88835587460339, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0015.CSV, 0015, Spec0015_Voigt5, Voigt5, 8.0894591717054, 660.94813336857, 9.0522033645698, 0, 9.0522033645698, 0, 5.4364021550384, 0.83952382754668, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0016.CSV, 0016, Spec0016_Voigt5, Voigt5, 7.8531775561477, 660.74177621751, 9.310390215063, 0, 9.310390215063, 0, 5.5914591609291, 0.79240165681039, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0017.CSV, 0017, Spec0017_Voigt5, Voigt5, 7.9246305714702, 660.69688726403, 9.4544146348249, 0, 9.4544146348249, 0, 5.6779546399234, 0.78743048129246, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0018.CSV, 0018, Spec0018_Voigt5, Voigt5, 8.4303877350745, 660.58555192875, 9.7140742577207, 0, 9.7140742577207, 0, 5.833896135782, 0.81529348512472, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0019.CSV, 0019, Spec0019_Voigt5, Voigt5, 8.4356490232684, 660.69038858981, 8.6927330349206, 0, 8.6927330349206, 0, 5.2205182209207, 0.91165391544346, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0020.CSV, 0020, Spec0020_Voigt5, Voigt5, 10.474149744756, 660.50134971605, 9.529160824879, 0, 9.529160824879, 0, 5.7228443018461, 1.0325996262139, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0021.CSV, 0021, Spec0021_Voigt5, Voigt5, 11.22727520323, 660.63277281268, 9.102316371009, 0, 9.102316371009, 0, 5.4664980825413, 1.1587514311265, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0022.CSV, 0022, Spec0022_Voigt5, Voigt5, 11.907103243714, 660.46782335557, 9.3449683249685, 0, 9.3449683249685, 0, 5.6122254322596, 1.1970054485959, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0023.CSV, 0023, Spec0023_Voigt5, Voigt5, 12.770689002497, 660.27988132844, 9.5310258370127, 0, 9.5310258370127, 0, 5.7239643557793, 1.2587588113779, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0024.CSV, 0024, Spec0024_Voigt5, Voigt5, 13.679297511971, 660.41689977712, 9.8145246830816, 0, 9.8145246830816, 0, 5.8942227642185, 1.3093699365045, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0025.CSV, 0025, Spec0025_Voigt5, Voigt5, 14.079594414476, 660.49006727146, 9.4336921280028, 0, 9.4336921280028, 0, 5.6655095062683, 1.402091276589, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0026.CSV, 0026, Spec0026_Voigt5, Voigt5, 14.479169440179, 660.48294314702, 9.5243962048494, 0, 9.5243962048494, 0, 5.7199828559026, 1.4281507053753, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0027.CSV, 0027, Spec0027_Voigt5, Voigt5, 15.070257440102, 660.46643476245, 9.5326486678102, 0, 9.5326486678102, 0, 5.7249389649975, 1.4851657519229, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0028.CSV, 0028, Spec0028_Voigt5, Voigt5, 15.561991115568, 660.27810434224, 9.3672165025747, 0, 9.3672165025747, 0, 5.6255868245983, 1.560710839076, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0029.CSV, 0029, Spec0029_Voigt5, Voigt5, 16.873595668229, 660.23014439109, 9.150408013045, 0, 9.150408013045, 0, 5.4953800570037, 1.7323475263081, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0030.CSV, 0030, Spec0030_Voigt5, Voigt5, 17.727732271454, 660.33641941246, 9.069194072337, 0, 9.069194072337, 0, 5.4466061149586, 1.8363367698495, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0031.CSV, 0031, Spec0031_Voigt5, Voigt5, 19.825177809748, 660.22667148382, 9.5533632707206, 0, 9.5533632707206, 0, 5.73737935187, 1.9495242443697, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0032.CSV, 0032, Spec0032_Voigt5, Voigt5, 20.391106096059, 660.22299823638, 9.36836339761, 0, 9.36836339761, 0, 5.6262756052621, 2.0447720366011, 
