Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sat Jun  6 20:53:00 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_Voigt6, Voigt6, 6.7244318309602, 650.44707904206, 4.9953276669462, 0, 4.9953276669462, 0, 3, 1.2646182821891, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_Voigt6, Voigt6, 5.0086810394763, 650.80583234643, 3.920060504988, 0, 3.920060504988, 0, 2.3542362581699, 1.2003238828924, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_Voigt6, Voigt6, 5.9185382433099, 650.80802081737, 4.1713196516797, 0, 4.1713196516797, 0, 2.5051327539219, 1.3329345598703, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_Voigt6, Voigt6, 6.4763700707599, 650.77644859341, 4.3194706437247, 0, 4.3194706437247, 0, 2.5941064921365, 1.4085393100777, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_Voigt6, Voigt6, 5.8296213073342, 650.7296974768, 4.1130539844494, 0, 4.1130539844494, 0, 2.4701406546353, 1.331507986614, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_Voigt6, Voigt6, 6.0320223219593, 650.80234330771, 4.1420011283702, 0, 4.1420011283702, 0, 2.4875251862521, 1.3681085869117, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_Voigt6, Voigt6, 6.0135375860726, 650.81435382015, 4.0714782523412, 0, 4.0714782523412, 0, 2.4451718828869, 1.3875407673917, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_Voigt6, Voigt6, 6.3393532106574, 650.82892187454, 4.1639394833807, 0, 4.1639394833807, 0, 2.5007005111596, 1.430238230562, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_Voigt6, Voigt6, 6.5415593305619, 650.72099302854, 4.3584144995061, 0, 4.3584144995061, 0, 2.6174946610683, 1.4100048146496, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_Voigt6, Voigt6, 6.2440145952392, 650.72629005343, 4.162565354403, 0, 4.162565354403, 0, 2.4998752626058, 1.4091936773011, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_Voigt6, Voigt6, 5.9279510143127, 650.7679104583, 4.3101263233692, 0, 4.3101263233692, 0, 2.5884946558496, 1.2920593075951, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_Voigt6, Voigt6, 5.4355428773571, 650.77312681564, 4.1393243002353, 0, 4.1393243002353, 0, 2.4859175871234, 1.2336197522368, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_Voigt6, Voigt6, 4.9419857346874, 650.82715574431, 3.9960282416175, 0, 3.9960282416175, 0, 2.3998595335752, 1.1618251680672, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_Voigt6, Voigt6, 4.9191398394979, 650.6903042797, 4.1365116754629, 0, 4.1365116754629, 0, 2.4842284338026, 1.117178980218, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_Voigt6, Voigt6, 4.9933974514668, 650.63778601988, 4.306527099754, 0, 4.306527099754, 0, 2.5863331017803, 1.0892731344355, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_Voigt6, Voigt6, 4.4847478632524, 650.71424150726, 4.0975190302522, 0, 4.0975190302522, 0, 2.4608109638324, 1.0282172698766, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_Voigt6, Voigt6, 4.1854086522358, 650.75261665037, 4.1787145169876, 0, 4.1787145169876, 0, 2.5095738231375, 0.94094233220299, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_Voigt6, Voigt6, 3.5954780131297, 650.7561396488, 3.9801007686124, 0, 3.9801007686124, 0, 2.3902941112042, 0.84865350886907, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_Voigt6, Voigt6, 3.7450137991705, 650.78329475611, 4.0525567000236, 0, 4.0525567000236, 0, 2.433808332638, 0.8681447915504, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_Voigt6, Voigt6, 4.2439197471933, 650.7299530727, 4.2575528824384, 0, 4.2575528824384, 0, 2.556921086845, 0.93642921266893, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_Voigt6, Voigt6, 4.7313325210685, 650.76552253146, 3.9599129155372, 0, 3.9599129155372, 0, 2.3781700698473, 1.1224465721547, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_Voigt6, Voigt6, 5.54040862638, 650.71127316313, 4.2021020987233, 0, 4.2021020987233, 0, 2.5236194973925, 1.2386341171721, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_Voigt6, Voigt6, 6.3309785555937, 650.73485879896, 3.897904387817, 0, 3.897904387817, 0, 2.340930153757, 1.5258347519672, 
FN7114 line across CO2 30 microns0024.CSV, 0024, Spec0024_Voigt6, Voigt6, 7.7084777640773, 650.87578755887, 4.0764696584459, 0, 4.0764696584459, 0, 2.4481695277487, 1.7764469856577, 
FN7114 line across CO2 30 microns0025.CSV, 0025, Spec0025_Voigt6, Voigt6, 8.2244421897533, 650.83830786217, 4.1478758329945, 0, 4.1478758329945, 0, 2.4910533059367, 1.8627241560987, 
FN7114 line across CO2 30 microns0026.CSV, 0026, Spec0026_Voigt6, Voigt6, 8.2365736441008, 650.76059258003, 4.0690871168578, 0, 4.0690871168578, 0, 2.4437358596811, 1.9015924285272, 
FN7114 line across CO2 30 microns0027.CSV, 0027, Spec0027_Voigt6, Voigt6, 8.1977625978165, 650.56883780882, 4.217137415784, 0, 4.217137415784, 0, 2.532649125515, 1.826187753702, 
FN7114 line across CO2 30 microns0028.CSV, 0028, Spec0028_Voigt6, Voigt6, 7.8325784109586, 650.23060602206, 4.4426592645945, 0, 4.4426592645945, 0, 2.6680887986536, 1.6562640946609, 
FN7114 line across CO2 30 microns0029.CSV, 0029, Spec0029_Voigt6, Voigt6, 6.7859476324538, 649.94469038218, 4.4381949319445, 0, 4.4381949319445, 0, 2.6654076936605, 1.4363886748872, 
FN7114 line across CO2 30 microns0030.CSV, 0030, Spec0030_Voigt6, Voigt6, 5.8015456255803, 649.53498622234, 4.5389442099025, 0, 4.5389442099025, 0, 2.7259138013727, 1.2007613736625, 
FN7114 line across CO2 30 microns0031.CSV, 0031, Spec0031_Voigt6, Voigt6, 4.9073904073585, 649.46859017425, 4.3594637253899, 0, 4.3594637253899, 0, 2.6181247854287, 1.0575121918167, 
FN7114 line across CO2 30 microns0032.CSV, 0032, Spec0032_Voigt6, Voigt6, 4.2823618899294, 648.92608483251, 4.7432816732626, 0, 4.7432816732626, 0, 2.8486309544709, 0.84814926816171, 
FN7114 line across CO2 30 microns0033.CSV, 0033, Spec0033_Voigt6, Voigt6, 3.4615706203681, 648.63850382087, 4.6679278370613, 0, 4.6679278370613, 0, 2.8033763638462, 0.69665362978975, 
FN7114 line across CO2 30 microns0034.CSV, 0034, Spec0034_Voigt6, Voigt6, 3.1013997164948, 648.47934231572, 4.4492592838409, 0, 4.4492592838409, 0, 2.6720525141612, 0.65484402487625, 
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_Voigt6, Voigt6, 2.5385108411228, 648.07209070964, 4.4931537046947, 0, 4.4931537046947, 0, 2.6984138004153, 0.53075682639772, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_Voigt6, Voigt6, 2.0311544542268, 647.63746309432, 4.5321527887273, 0, 4.5321527887273, 0, 2.7218351372922, 0.42102341415141, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_Voigt6, Voigt6, 1.5722930060065, 647.44718576668, 4.5801837654521, 0, 4.5801837654521, 0, 2.7506806785222, 0.32249161051205, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_Voigt6, Voigt6, 1.4936161527185, 647.89150819659, 3.8207434001626, 0, 3.8207434001626, 0, 2.2945902580791, 0.36724760452156, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_Voigt6, Voigt6, 1.0520806437731, 647.8284991808, 3.3471027222535, 0, 3.3471027222535, 0, 2.0101400421044, 0.2952893821303, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_Voigt6, Voigt6, 1.0731553767365, 647.43187408115, 3.9668873087977, 0, 3.9668873087977, 0, 2.3823586198638, 0.25414442318278, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_Voigt6, Voigt6, 1.1596027136139, 647.1235468597, 4.2078212754, 0, 4.2078212754, 0, 2.5270542130256, 0.25889268488717, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_Voigt6, Voigt6, 0.84101841092647, 647.51293605998, 3.2281722705525, 0, 3.2281722705525, 0, 1.9387150267918, 0.24474658576607, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_Voigt6, Voigt6, 0.69274625415064, 647.42459615922, 3.1859918494895, 0, 3.1859918494895, 0, 1.9133831023164, 0.2042666033541, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_Voigt6, Voigt6, 0.59991049626136, 647.65275866398, 2.5788449591222, 0, 2.5788449591222, 0, 1.5487542345938, 0.21853905922547, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_Voigt6, Voigt6, 0.5011808080969, 647.82718874885, 2.7306594294167, 0, 2.7306594294167, 0, 1.6399281157182, 0.17242281682952, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_Voigt6, Voigt6, 0.51385323610371, 647.82187373995, 2.6699965310876, 0, 2.6699965310876, 0, 1.6034963324357, 0.18079909007443, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_Voigt6, Voigt6, 0.59158641688338, 647.41772634512, 3.3073777296863, 0, 3.3073777296863, 0, 1.9862827527238, 0.16803596240483, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_Voigt6, Voigt6, 0.84824457409412, 647.60428282579, 3.7339755709096, 0, 3.7339755709096, 0, 2.2424808660403, 0.21341132372733, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_Voigt6, Voigt6, 0.80947125960494, 648.35063998317, 3.1784861175824, 0, 3.1784861175824, 0, 1.9088754509224, 0.23924835277861, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_Voigt6, Voigt6, 0.64683235951572, 647.23731579798, 4.1487879832987, 0, 4.1487879832987, 0, 2.491601108022, 0.146466511782, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_Voigt6, Voigt6, 0.59823065198615, 648.04716564886, 2.8640210401203, 0, 2.8640210401203, 0, 1.7200199252622, 0.19622769346297, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_Voigt6, Voigt6, 0.59587008200712, 647.42691441158, 3.4269281669191, 0, 3.4269281669191, 0, 2.058080107294, 0.16334822551412, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_Voigt6, Voigt6, 0.29245830311845, 647.87381093609, 2.3428368472059, 0, 2.3428368472059, 0, 1.4070169186548, 0.11727076321797, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_Voigt6, Voigt6, 0.1412971332485, 647.94797036425, 1.6651106096291, 0, 1.6651106096291, 0, 1.0000008331668, 0.079718313848486, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_Voigt6, Voigt6, 0.068952507595659, 648.25225569855, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0.038902291182482, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_Voigt6, Voigt6, 0.17181973869685, 647.5887832137, 2.1046140934625, 0, 2.1046140934625, 0, 1.2639495747528, 0.076695241893362, 
