Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Fri Jun  5 15:53:30 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0001.CSV, 0001, Spec0001_VoigtD, VoigtD, 0, 2368.849845868, 46.6923449657, 0, 46.6923449657, 0, 28.041610928545, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0002.CSV, 0002, Spec0002_VoigtD, VoigtD, 0, 2369.2647772499, 47.148832387055, 0, 47.148832387055, 0, 28.315759564104, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0003.CSV, 0003, Spec0003_VoigtD, VoigtD, 0, 2369.5458731035, 47.242742479582, 0, 47.242742479582, 0, 28.372158322377, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0004.CSV, 0004, Spec0004_VoigtD, VoigtD, 0, 2369.6475505991, 45.987054616494, 0, 45.987054616494, 0, 27.618040906978, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0005.CSV, 0005, Spec0005_VoigtD, VoigtD, 0, 2369.6214993152, 45.252634915538, 0, 45.252634915538, 0, 27.176976926842, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0006.CSV, 0006, Spec0006_VoigtD, VoigtD, 0, 2369.5923439121, 43.706073219418, 0, 43.706073219418, 0, 26.248171971952, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0007.CSV, 0007, Spec0007_VoigtD, VoigtD, 0, 2369.6451012466, 44.21950348574, 0, 44.21950348574, 0, 26.556518271066, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0008.CSV, 0008, Spec0008_VoigtD, VoigtD, 0, 2369.5619195814, 44.461204038792, 0, 44.461204038792, 0, 26.70167424631, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0009.CSV, 0009, Spec0009_VoigtD, VoigtD, 0, 2369.5271338948, 45.123103250971, 0, 45.123103250971, 0, 27.099185234363, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0010.CSV, 0010, Spec0010_VoigtD, VoigtD, 0, 2369.4371576685, 44.631513659835, 0, 44.631513659835, 0, 26.803955597443, 0, 
