Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sat Jun  6 20:56:36 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_VoigtD, VoigtD, 0, 2369.496260415, 20.029195621633, 0, 20.029195621633, 0, 12.028757845555, 0, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_VoigtD, VoigtD, 0, 2369.4136060659, 21.360224052164, 0, 21.360224052164, 0, 12.828121882877, 0, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_VoigtD, VoigtD, 0, 2369.3603221739, 21.32498269774, 0, 21.32498269774, 0, 12.806957292619, 0, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_VoigtD, VoigtD, 0, 2369.3054571916, 21.512262161092, 0, 21.512262161092, 0, 12.919430072688, 0, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_VoigtD, VoigtD, 0, 2369.307816916, 21.660686451408, 0, 21.660686451408, 0, 13.008567943242, 0, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_VoigtD, VoigtD, 0, 2369.283011863, 21.734531326859, 0, 21.734531326859, 0, 13.052916310581, 0, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_VoigtD, VoigtD, 0, 2369.2929093022, 22.094614126468, 0, 22.094614126468, 0, 13.269168070395, 0, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_VoigtD, VoigtD, 0, 2369.2631213938, 22.081752867927, 0, 22.081752867927, 0, 13.261444097476, 0, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_VoigtD, VoigtD, 0, 2369.2029683984, 22.037875693052, 0, 22.037875693052, 0, 13.235093168487, 0, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_VoigtD, VoigtD, 0, 2369.2058277062, 22.155055469327, 0, 22.155055469327, 0, 13.305466796058, 0, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_VoigtD, VoigtD, 0, 2369.2313028761, 22.28849012696, 0, 22.28849012696, 0, 13.385602474754, 0, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_VoigtD, VoigtD, 0, 2369.2694388726, 22.674377306502, 0, 22.674377306502, 0, 13.617351344059, 0, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_VoigtD, VoigtD, 0, 2369.3407319973, 23.02337019484, 0, 23.02337019484, 0, 13.826942933404, 0, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_VoigtD, VoigtD, 0, 2369.4291537139, 22.856850149588, 0, 22.856850149588, 0, 13.726937454472, 0, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_VoigtD, VoigtD, 0, 2369.4796956721, 23.097086000503, 0, 23.097086000503, 0, 13.871213786436, 0, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_VoigtD, VoigtD, 0, 2369.5627416475, 23.356785637401, 0, 23.356785637401, 0, 14.027179313152, 0, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_VoigtD, VoigtD, 0, 2369.6720540847, 23.313764698358, 0, 23.313764698358, 0, 14.001342606186, 0, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_VoigtD, VoigtD, 0, 2369.6634014762, 23.202399520825, 0, 23.202399520825, 0, 13.934461001039, 0, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_VoigtD, VoigtD, 0, 2369.6739220617, 22.929419883898, 0, 22.929419883898, 0, 13.770520021512, 0, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_VoigtD, VoigtD, 0, 2369.7327505595, 23.454640893919, 0, 23.454640893919, 0, 14.085947383862, 0, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_VoigtD, VoigtD, 0, 2369.7640560748, 23.767686388752, 0, 23.767686388752, 0, 14.27395036327, 0, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_VoigtD, VoigtD, 0, 2369.6777333115, 24.185090920902, 0, 24.185090920902, 0, 14.524627331817, 0, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_VoigtD, VoigtD, 0, 2369.5801929743, 24.616485637178, 0, 24.616485637178, 0, 14.783706262192, 0, 
FN7114 line across CO2 30 microns0024.CSV, 0024, Spec0024_VoigtD, VoigtD, 0, 2369.2640048565, 24.247929104781, 0, 24.247929104781, 0, 14.562365507209, 0, 
FN7114 line across CO2 30 microns0025.CSV, 0025, Spec0025_VoigtD, VoigtD, 0, 2369.2445924418, 24.155944396593, 0, 24.155944396593, 0, 14.507123060074, 0, 
