Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Fri Jun  5 12:07:34 2020 ---
FN7114Profile#2-31-01-20200001.CSV, 0001, Spec0001_VoigtD, VoigtD, 0, 2369.6186447631, 24.64990610179, 0, 24.64990610179, 0, 14.803777296671, 0, 
FN7114Profile#2-31-01-20200002.CSV, 0002, Spec0002_VoigtD, VoigtD, 0, 2369.5195441714, 24.38335546361, 0, 24.38335546361, 0, 14.643697324374, 0, 
FN7114Profile#2-31-01-20200003.CSV, 0003, Spec0003_VoigtD, VoigtD, 0, 2369.56651926, 24.06819355344, 0, 24.06819355344, 0, 14.454423308023, 0, 
FN7114Profile#2-31-01-20200004.CSV, 0004, Spec0004_VoigtD, VoigtD, 0, 2369.6034673118, 24.426411784727, 0, 24.426411784727, 0, 14.669555280441, 0, 
FN7114Profile#2-31-01-20200005.CSV, 0005, Spec0005_VoigtD, VoigtD, 0, 2369.7302741716, 25.025578682587, 0, 25.025578682587, 0, 15.029391674252, 0, 
FN7114Profile#2-31-01-20200006.CSV, 0006, Spec0006_VoigtD, VoigtD, 0, 2369.8529243575, 25.560207044697, 0, 25.560207044697, 0, 15.350468727303, 0, 
FN7114Profile#2-31-01-20200007.CSV, 0007, Spec0007_VoigtD, VoigtD, 0, 2369.8386636579, 25.14936581104, 0, 25.14936581104, 0, 15.103733421204, 0, 
FN7114Profile#2-31-01-20200008.CSV, 0008, Spec0008_VoigtD, VoigtD, 0, 2369.8725233505, 25.569375871059, 0, 25.569375871059, 0, 15.355975168706, 0, 
FN7114Profile#2-31-01-20200009.CSV, 0009, Spec0009_VoigtD, VoigtD, 0, 2369.9281725449, 26.215472357515, 0, 26.215472357515, 0, 15.743995652766, 0, 
FN7114Profile#2-31-01-20200010.CSV, 0010, Spec0010_VoigtD, VoigtD, 0, 2369.9256562529, 27.28994591316, 0, 27.28994591316, 0, 16.389282785434, 0, 
FN7114Profile#2-31-01-20200011.CSV, 0011, Spec0011_VoigtD, VoigtD, 0, 2369.7493893597, 27.150234368964, 0, 27.150234368964, 0, 16.305377452183, 0, 
FN7114Profile#2-31-01-20200012.CSV, 0012, Spec0012_VoigtD, VoigtD, 0, 2369.9086671786, 26.906323688214, 0, 26.906323688214, 0, 16.158894159988, 0, 
FN7114Profile#2-31-01-20200013.CSV, 0013, Spec0013_VoigtD, VoigtD, 0, 2370.51440169, 28.694474573002, 0, 28.694474573002, 0, 17.232788208993, 0, 
FN7114Profile#2-31-01-20200014.CSV, 0014, Spec0014_VoigtD, VoigtD, 0, 2371.2718167549, 31.377588187048, 0, 31.377588187048, 0, 18.844162152568, 0, 
FN7114Profile#2-31-01-20200015.CSV, 0015, Spec0015_VoigtD, VoigtD, 0, 2371.9451000008, 32.927978381125, 0, 32.927978381125, 0, 19.775266354802, 0, 
FN7114Profile#2-31-01-20200016.CSV, 0016, Spec0016_VoigtD, VoigtD, 0, 2372.5405411968, 35.040332041083, 0, 35.040332041083, 0, 21.043864012931, 0, 
FN7114Profile#2-31-01-20200017.CSV, 0017, Spec0017_VoigtD, VoigtD, 0, 2373.114034771, 37.101364339214, 0, 37.101364339214, 0, 22.28164005219, 0, 
FN7114Profile#2-31-01-20200018.CSV, 0018, Spec0018_VoigtD, VoigtD, 0, 2373.7270503413, 39.048759629169, 0, 39.048759629169, 0, 23.451170112955, 0, 
FN7114Profile#2-31-01-20200019.CSV, 0019, Spec0019_VoigtD, VoigtD, 0, 2374.1185052661, 41.742390457495, 0, 41.742390457495, 0, 25.068860287406, 0, 
FN7114Profile#2-31-01-20200020.CSV, 0020, Spec0020_VoigtD, VoigtD, 0, 2374.2821647155, 42.203622857734, 0, 42.203622857734, 0, 25.345858573198, 0, 
FN7114Profile#2-31-01-20200021.CSV, 0021, Spec0021_VoigtD, VoigtD, 0, 2374.4455110486, 43.031537942257, 0, 43.031537942257, 0, 25.843072253494, 0, 
