Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Thu Jun  4 11:39:57 2020 ---
FN7112 map truncated version0001.CSV, 0001, Spec0001_VoigtH, VoigtH, 1.3636317987212, 3106.6885499261, 4.2265105423743, 1, 2.3641414604856, 2.8396232857304, 1.4198116428652, 0.23169276095079, 
FN7112 map truncated version0002.CSV, 0002, Spec0002_VoigtH, VoigtH, 1.0545555698252, 3107.2507511552, 5.2545681013933, 1, 2.9391958640355, 3.5303340161055, 1.7651670080528, 0.14412182275933, 
FN7112 map truncated version0003.CSV, 0003, Spec0003_VoigtH, VoigtH, 1.012030454958, 3107.3853922518, 4.8237787468885, 1, 2.6982294773414, 3.2409038892829, 1.6204519446414, 0.15066192203293, 
FN7112 map truncated version0004.CSV, 0004, Spec0004_VoigtH, VoigtH, 1.0133025108863, 3107.2768099744, 4.6902822171509, 1, 2.6235568419322, 3.1512129135698, 1.5756064567849, 0.15514487895789, 
FN7112 map truncated version0005.CSV, 0005, Spec0005_VoigtH, VoigtH, 0.94323662564826, 3107.2464177364, 4.8806748439582, 1, 2.7300548852455, 3.2791300998853, 1.6395650499427, 0.13878357863712, 
FN7112 map truncated version0006.CSV, 0006, Spec0006_VoigtH, VoigtH, 1.0111314134412, 3107.253041529, 4.9769900486055, 1, 2.7839297700468, 3.3438404312909, 1.6719202156455, 0.14589423532446, 
FN7112 map truncated version0007.CSV, 0007, Spec0007_VoigtH, VoigtH, 0.97041435179595, 3107.2990243047, 4.7431230874058, 1, 2.653113917663, 3.1867145795682, 1.5933572897841, 0.14692311150547, 
FN7112 map truncated version0008.CSV, 0008, Spec0008_VoigtH, VoigtH, 0.98714776502768, 3107.3257943401, 4.8027196363138, 1, 2.6864498506419, 3.226755115687, 1.6133775578435, 0.1476019968622, 
FN7112 map truncated version0009.CSV, 0009, Spec0009_VoigtH, VoigtH, 1.0297778281132, 3107.3056134723, 5.2421702088868, 1, 2.9322609773474, 3.5220043683021, 1.761002184151, 0.14106839339489, 
FN7112 map truncated version0010.CSV, 0010, Spec0010_VoigtH, VoigtH, 1.0005655716907, 3107.2056276099, 4.8145540586766, 1, 2.6930695546006, 3.2347061904513, 1.6173530952256, 0.14924053223763, 
FN7112 map truncated version0011.CSV, 0011, Spec0011_VoigtH, VoigtH, 1.0044449424712, 3107.2132589957, 4.9917476777943, 1, 2.7921845993378, 3.353755491733, 1.6768777458665, 0.14450098688843, 
FN7112 map truncated version0012.CSV, 0012, Spec0012_VoigtH, VoigtH, 0.97275213206446, 3107.2796881891, 4.7758833986394, 1, 2.6714387294124, 3.2087249215972, 1.6043624607986, 0.14626680590645, 
FN7112 map truncated version0013.CSV, 0013, Spec0013_VoigtH, VoigtH, 0.99531897140404, 3107.2643090405, 4.797291109236, 1, 2.6834133490633, 3.2231079055966, 1.6115539527983, 0.14899219224115, 
FN7112 map truncated version0014.CSV, 0014, Spec0014_VoigtH, VoigtH, 0.86710869829427, 3107.0947603215, 4.3939425401363, 1, 2.4577962434922, 2.9521141442896, 1.4760570721448, 0.14171521201942, 
FN7112 map truncated version0015.CSV, 0015, Spec0015_VoigtH, VoigtH, 1.0028354004281, 3107.4895590638, 5.1516672280293, 1, 2.8816372187651, 3.4611990374519, 1.7305995187259, 0.13979098198466, 
FN7112 map truncated version0016.CSV, 0016, Spec0016_VoigtH, VoigtH, 0.97301977319849, 3107.396773846, 4.2949206299697, 1, 2.4024073355564, 2.8855852857697, 1.4427926428848, 0.16269111093685, 
FN7112 map truncated version0017.CSV, 0017, Spec0017_VoigtH, VoigtH, 1.1101012383143, 3107.2366863417, 6.3806555639137, 1, 3.5690842865501, 4.286907115423, 2.1434535577115, 0.12493801078837, 
FN7112 map truncated version0018.CSV, 0018, Spec0018_VoigtH, VoigtH, 0.96969395953654, 3107.1428655088, 4.859381457158, 1, 2.7181442137675, 3.2648239254694, 1.6324119627347, 0.1433015868321, 
FN7112 map truncated version0019.CSV, 0019, Spec0019_VoigtH, VoigtH, 1.0096220436665, 3107.2958983924, 5.0994476324304, 1, 2.8524276593029, 3.426114781031, 1.7130573905155, 0.14217819267886, 
FN7112 map truncated version0020.CSV, 0020, Spec0020_VoigtH, VoigtH, 1.0054694600599, 3107.3683397918, 4.9132016994552, 1, 2.7482491111652, 3.3009835923479, 1.650491796174, 0.14696082859027, 
FN7112 map truncated version0021.CSV, 0021, Spec0021_VoigtH, VoigtH, 1.0062902046391, 3107.3340152212, 4.9468610940061, 1, 2.7670768342702, 3.3235979924759, 1.6617989962379, 0.14608002378209, 
FN7112 map truncated version0022.CSV, 0022, Spec0022_VoigtH, VoigtH, 1.0182785120027, 3107.2927069638, 5.1072180024169, 1, 2.8567740944211, 3.4313353816497, 1.7156676908249, 0.14317905261354, 
FN7112 map truncated version0023.CSV, 0023, Spec0023_VoigtH, VoigtH, 1.0802273089576, 3107.3196378534, 5.3334323257588, 1, 2.9833093663449, 3.5833197322593, 1.7916598661297, 0.14544730041763, 
FN7112 map truncated version0024.CSV, 0024, Spec0024_VoigtH, VoigtH, 1.0492242612714, 3107.2503531651, 5.0848453680295, 1, 2.844259734879, 3.4163041039721, 1.7081520519861, 0.14817941476915, 
FN7112 map truncated version0025.CSV, 0025, Spec0025_VoigtH, VoigtH, 1.0153601972648, 3107.2473616753, 4.9397736526946, 1, 2.7631124022204, 3.3188362243027, 1.6594181121513, 0.14760816685446, 
FN7112 map truncated version0026.CSV, 0026, Spec0026_VoigtH, VoigtH, 1.0381032573047, 3107.2393948647, 5.0993881833445, 1, 2.8523944058549, 3.4260748395694, 1.7130374197847, 0.1461907122033, 
FN7112 map truncated version0027.CSV, 0027, Spec0027_VoigtH, VoigtH, 1.0656626219668, 3107.3381933552, 5.3163387947823, 1, 2.9737479267406, 3.5718352728904, 1.7859176364452, 0.1439475856482, 
FN7112 map truncated version0028.CSV, 0028, Spec0028_VoigtH, VoigtH, 1.0436380457337, 3107.2494666989, 4.9972979176741, 1, 2.7952891822044, 3.3574844757841, 1.678742237892, 0.14997261469945, 
FN7112 map truncated version0029.CSV, 0029, Spec0029_VoigtH, VoigtH, 1.0571439295399, 3107.3191299436, 5.2773105412569, 1, 2.9519170780146, 3.5456137512827, 1.7728068756414, 0.14385294947569, 
FN7112 map truncated version0030.CSV, 0030, Spec0030_VoigtH, VoigtH, 1.019872418147, 3107.3047550117, 4.9484841970705, 1, 2.7679847334014, 3.3246884904672, 1.6623442452336, 0.14800315056609, 
FN7112 map truncated version0031.CSV, 0031, Spec0031_VoigtH, VoigtH, 0.99140116051939, 3107.1871724541, 4.8603117471773, 1, 2.718664580908, 3.2654489501026, 1.6327244750513, 0.14648143906336, 
FN7112 map truncated version0032.CSV, 0032, Spec0032_VoigtH, VoigtH, 1.0610716997326, 3107.4955537387, 5.4870897494552, 1, 3.0692592018959, 3.6865560057712, 1.8432780028856, 0.13886729279003, 
FN7112 map truncated version0033.CSV, 0033, Spec0033_VoigtH, VoigtH, 1.0374573838064, 3107.4479491243, 5.3373090615965, 1, 2.9854778577832, 3.5859243559192, 1.7929621779596, 0.13958707782357, 
FN7112 map truncated version0034.CSV, 0034, Spec0034_VoigtH, VoigtH, 0.90520387527844, 3107.3019057562, 4.6263883780746, 1, 2.5878171761925, 3.1082852001673, 1.5541426000836, 0.14050818297873, 
FN7112 map truncated version0035.CSV, 0035, Spec0035_VoigtH, VoigtH, 0.98212018430093, 3107.3144719241, 4.9184440290046, 1, 2.7511814612712, 3.3045057037707, 1.6522528518854, 0.14339506476802, 
FN7112 map truncated version0036.CSV, 0036, Spec0036_VoigtH, VoigtH, 1.0028813288407, 3107.3285805171, 5.1525410369155, 1, 2.882125992612, 3.4617861146721, 1.7308930573361, 0.13977367625748, 
FN7112 map truncated version0037.CSV, 0037, Spec0037_VoigtH, VoigtH, 1.0407410464697, 3107.3007732196, 5.2913186035033, 1, 2.9597526294478, 3.5550252076943, 1.7775126038472, 0.14124597226146, 
FN7112 map truncated version0038.CSV, 0038, Spec0038_VoigtH, VoigtH, 1.1045356645623, 3107.3334559192, 5.5286170313532, 1, 3.0924879074421, 3.7144565245298, 1.8572282622649, 0.14346981474591, 
FN7112 map truncated version0039.CSV, 0039, Spec0039_VoigtH, VoigtH, 1.0911736467111, 3107.221313602, 5.5370245545355, 1, 3.0971907406507, 3.7201052028815, 1.8600526014407, 0.141518990054, 
FN7112 map truncated version0040.CSV, 0040, Spec0040_VoigtH, VoigtH, 1.0797812381558, 3107.3111377883, 5.484344944802, 1, 3.0677238676252, 3.6847118813736, 1.8423559406868, 0.14138662118737, 
FN7112 map truncated version0041.CSV, 0041, Spec0041_VoigtH, VoigtH, 1.0802460751664, 3107.2736803807, 5.4761795692852, 1, 3.0631564821647, 3.6792258923475, 1.8396129461738, 0.14165839529647, 
