Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Thu Jun  4 09:14:37 2020 ---
FN7114 map truncated version0001.CSV, 0001, Spec0001_VoigtK, VoigtK, 0.33767899571584, 869.8789331197, 2.7201632082709, 0, 2.7201632082709, 0, 1.6336244925053, 0.11662104452457, 
FN7114 map truncated version0002.CSV, 0002, Spec0002_VoigtK, VoigtK, 0.18293591336826, 868.67506684793, 3.6874008984426, 0, 3.6874008984426, 0, 2.2145099246494, 0.046606496513743, 
FN7114 map truncated version0003.CSV, 0003, Spec0003_VoigtK, VoigtK, 0.081536538885672, 872.39774822647, 4.9953276669462, 0, 4.9953276669462, 0, 3, 0.015334023800569, 
FN7114 map truncated version0004.CSV, 0004, Spec0004_VoigtK, VoigtK, 0, 867.98671793475, 3.3545024614149, 0, 3.3545024614149, 0, 2.0145840383674, 0, 
FN7114 map truncated version0005.CSV, 0005, Spec0005_VoigtK, VoigtK, 0, 867.95077232993, 3.3192842646834, 0, 3.3192842646834, 0, 1.9934333557218, 0, 
FN7114 map truncated version0006.CSV, 0006, Spec0006_VoigtK, VoigtK, 0, 868.02174640636, 3.2541904340816, 0, 3.2541904340816, 0, 1.954340526417, 0, 
FN7114 map truncated version0007.CSV, 0007, Spec0007_VoigtK, VoigtK, 0.10054059321295, 869.1166408365, 4.9953276669462, 0, 4.9953276669462, 0, 3, 0.018907987392161, 
FN7114 map truncated version0008.CSV, 0008, Spec0008_VoigtK, VoigtK, 0, 868.00144951613, 3.3509434742141, 0, 3.3509434742141, 0, 2.0124466487276, 0, 
FN7114 map truncated version0009.CSV, 0009, Spec0009_VoigtK, VoigtK, 0, 866.32655185625, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7114 map truncated version0010.CSV, 0010, Spec0010_VoigtK, VoigtK, 0.043429437822467, 870.83069189753, 4.8612585292101, 0, 4.8612585292101, 0, 2.9194832771692, 0.0083927315327685, 
FN7114 map truncated version0011.CSV, 0011, Spec0011_VoigtK, VoigtK, 0.015919351961071, 867.90251116931, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0.0089815336239487, 
