Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sun Jun  7 16:07:28 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_VoigtP, VoigtP, 0, 1365, 23.763772777196, 0, 23.763772777196, 0, 14.2716, 0, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
