Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0001.CSV, 0001, Spec0001_VoigtP, VoigtP, 0, 1365, 19.91004399307, 0, 19.91004399307, 0, 11.9572, 0, 
FN7114 map truncated version0002.CSV, 0002, Spec0002_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
FN7114 map truncated version0003.CSV, 0003, Spec0003_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0004.CSV, 0004, Spec0004_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0005.CSV, 0005, Spec0005_VoigtP, VoigtP, 0, 1365, 32.112630417886, 0, 32.112630417886, 0, 19.2856, 0, 
FN7114 map truncated version0006.CSV, 0006, Spec0006_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0007.CSV, 0007, Spec0007_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0008.CSV, 0008, Spec0008_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
FN7114 map truncated version0009.CSV, 0009, Spec0009_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0010.CSV, 0010, Spec0010_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0011.CSV, 0011, Spec0011_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0012.CSV, 0012, Spec0012_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0013.CSV, 0013, Spec0013_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0014.CSV, 0014, Spec0014_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0015.CSV, 0015, Spec0015_VoigtP, VoigtP, 0, 1365, 5.1385270600653, 0, 5.1385270600653, 0, 3.086, 0, 
FN7114 map truncated version0016.CSV, 0016, Spec0016_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0017.CSV, 0017, Spec0017_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0018.CSV, 0018, Spec0018_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0019.CSV, 0019, Spec0019_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0020.CSV, 0020, Spec0020_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0021.CSV, 0021, Spec0021_VoigtP, VoigtP, 0, 1365, 33.396762650135, 0, 33.396762650135, 0, 20.0568, 0, 
FN7114 map truncated version0022.CSV, 0022, Spec0022_VoigtP, VoigtP, 0, 1365, 27.616835517634, 0, 27.616835517634, 0, 16.5856, 0, 
FN7114 map truncated version0023.CSV, 0023, Spec0023_VoigtP, VoigtP, 0, 1365, 27.616835517634, 0, 27.616835517634, 0, 16.5856, 0, 
FN7114 map truncated version0024.CSV, 0024, Spec0024_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0025.CSV, 0025, Spec0025_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0026.CSV, 0026, Spec0026_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0027.CSV, 0027, Spec0027_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0028.CSV, 0028, Spec0028_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0029.CSV, 0029, Spec0029_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0030.CSV, 0030, Spec0030_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0031.CSV, 0031, Spec0031_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0032.CSV, 0032, Spec0032_VoigtP, VoigtP, 0, 1365, 19.267311833256, 0, 19.267311833256, 0, 11.5712, 0, 
FN7114 map truncated version0033.CSV, 0033, Spec0033_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0034.CSV, 0034, Spec0034_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0035.CSV, 0035, Spec0035_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0036.CSV, 0036, Spec0036_VoigtP, VoigtP, 0, 1365, 27.616835517634, 0, 27.616835517634, 0, 16.5856, 0, 
FN7114 map truncated version0037.CSV, 0037, Spec0037_VoigtP, VoigtP, 0, 1365, 27.616835517634, 0, 27.616835517634, 0, 16.5856, 0, 
FN7114 map truncated version0038.CSV, 0038, Spec0038_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0039.CSV, 0039, Spec0039_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0040.CSV, 0040, Spec0040_VoigtP, VoigtP, 0, 1365, 27.616835517634, 0, 27.616835517634, 0, 16.5856, 0, 
FN7114 map truncated version0041.CSV, 0041, Spec0041_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0042.CSV, 0042, Spec0042_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0043.CSV, 0043, Spec0043_VoigtP, VoigtP, 0, 1365, 27.616835517634, 0, 27.616835517634, 0, 16.5856, 0, 
FN7114 map truncated version0044.CSV, 0044, Spec0044_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
FN7114 map truncated version0045.CSV, 0045, Spec0045_VoigtP, VoigtP, 0, 1365, 25.689971125571, 0, 25.689971125571, 0, 15.4284, 0, 
FN7114 map truncated version0046.CSV, 0046, Spec0046_VoigtP, VoigtP, 0, 1365, 19.267311833256, 0, 19.267311833256, 0, 11.5712, 0, 
FN7114 map truncated version0047.CSV, 0047, Spec0047_VoigtP, VoigtP, 0, 1365, 23.120374573694, 0, 23.120374573694, 0, 13.8852, 0, 
FN7114 map truncated version0048.CSV, 0048, Spec0048_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
FN7114 map truncated version0049.CSV, 0049, Spec0049_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
FN7114 map truncated version0050.CSV, 0050, Spec0050_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
FN7114 map truncated version0051.CSV, 0051, Spec0051_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
FN7114 map truncated version0052.CSV, 0052, Spec0052_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0053.CSV, 0053, Spec0053_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0054.CSV, 0054, Spec0054_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0055.CSV, 0055, Spec0055_VoigtP, VoigtP, 0, 1365, 32.754696534011, 0, 32.754696534011, 0, 19.6712, 0, 
FN7114 map truncated version0056.CSV, 0056, Spec0056_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0057.CSV, 0057, Spec0057_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0058.CSV, 0058, Spec0058_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0059.CSV, 0059, Spec0059_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0060.CSV, 0060, Spec0060_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0061.CSV, 0061, Spec0061_VoigtP, VoigtP, 0, 1365, 22.478974501258, 0, 22.478974501258, 0, 13.5, 0, 
FN7114 map truncated version0062.CSV, 0062, Spec0062_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0063.CSV, 0063, Spec0063_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0064.CSV, 0064, Spec0064_VoigtP, VoigtP, 0, 1365, 32.112630417886, 0, 32.112630417886, 0, 19.2856, 0, 
FN7114 map truncated version0065.CSV, 0065, Spec0065_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0066.CSV, 0066, Spec0066_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0067.CSV, 0067, Spec0067_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0068.CSV, 0068, Spec0068_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0069.CSV, 0069, Spec0069_VoigtP, VoigtP, 0, 1365, 23.121040617383, 0, 23.121040617383, 0, 13.8856, 0, 
FN7114 map truncated version0070.CSV, 0070, Spec0070_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0071.CSV, 0071, Spec0071_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0072.CSV, 0072, Spec0072_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0073.CSV, 0073, Spec0073_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0074.CSV, 0074, Spec0074_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0075.CSV, 0075, Spec0075_VoigtP, VoigtP, 0, 1365, 26.974769401509, 0, 26.974769401509, 0, 16.2, 0, 
FN7114 map truncated version0076.CSV, 0076, Spec0076_VoigtP, VoigtP, 0, 1365, 23.763106733508, 0, 23.763106733508, 0, 14.2712, 0, 
FN7114 map truncated version0077.CSV, 0077, Spec0077_VoigtP, VoigtP, 0, 1365, 26.332037241696, 0, 26.332037241696, 0, 15.814, 0, 
